Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
*Total Tactics,Total England and Wales,Total,Total: all,White,447337.0
*Total Restraint,Total England and Wales,Restraint,Total: Restraint,White,281187.0
"Handcuffing, of which",Total England and Wales,Restraint,Total: Handcuffing,White,210848.0
Compliant handcuffing,Total England and Wales,Restraint,Handcuffing: compliant,White,120303.0
Non-compliant handcuffing,Total England and Wales,Restraint,Handcuffing: non-compliant,White,84725.0
Not stated handcuffing,Total England and Wales,Restraint,Handcuffing: not stated,White,5820.0
Limb / Body restraints,Total England and Wales,Restraint,Limb / body restraints,White,19996.0
Ground restraint,Total England and Wales,Restraint,Ground restraint,White,50343.0
*Total Unarmed skills,Total England and Wales,Unarmed skills,Total: unarmed skills,White,105352.0
*Total Other equipment,Total England and Wales,Other equipment,Total: Other equipment,White,22430.0
"Baton, of which",Total England and Wales,Other equipment,Total: Baton,White,4088.0
Baton drawn,Total England and Wales,Other equipment,Baton: drawn,White,2454.0
Baton used,Total England and Wales,Other equipment,Baton: used,White,1522.0
Not stated baton,Total England and Wales,Other equipment,Baton: not stated,White,112.0
"Irritant spray, of which",Total England and Wales,Other equipment,Total: Irritant spray,White,13745.0
Irritant spray - drawn,Total England and Wales,Other equipment,Irritant spray: drawn,White,5952.0
Irritant spray - used,Total England and Wales,Other equipment,Irritant spray: used,White,7672.0
Not stated irritant spray,Total England and Wales,Other equipment,Irritant spray: not stated,White,121.0
Spit and bite guard,Total England and Wales,Other equipment,Spit and bite guard,White,3883.0
Shield,Total England and Wales,Other equipment,Shield,White,714.0
*Total Less lethal weapons,Total England and Wales,Less lethal weapons,Total: Less lethal weapons,White,15140.0
CED,Total England and Wales,Less lethal weapons,CED,White,14562.0
"AEP, of which",Total England and Wales,Less lethal weapons,Total: AEP,White,578.0
AEP aimed,Total England and Wales,Less lethal weapons,AEP: Aimed,White,498.0
AEP fired,Total England and Wales,Less lethal weapons,AEP: Fired,White,34.0
Not stated AEP,Total England and Wales,Less lethal weapons,AEP: Not stated,White,46.0
*Total Firearms,Total England and Wales,Firearms,Total: Firearms,White,2351.0
*Total Other,Total England and Wales,Other,Total: Other,White,20877.0
"Dog use, of which",Total England and Wales,Other,Total: Dog,White,1583.0
Dog deployed,Total England and Wales,Other,Dog: deployed,White,1127.0
Dog bite,Total England and Wales,Other,Dog: bite,White,416.0
Not stated dog,Total England and Wales,Other,Dog: not stated,White,40.0
Other / improvised,Total England and Wales,Other,Other / improvised,White,19294.0
*Total Not reported,Total England and Wales,Not reported,Total: Not reported,White,1046.0
Tactical communication,Total England and Wales,Excluded: Tactical Communication,Tactical Communication,White,157530.0
*Total Tactics,Avon & Somerset,Total,Total: all,White,12642.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,White,7890.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,White,5686.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,White,3125.0
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,White,2561.0
Not stated handcuffing,Avon & Somerset,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,White,395.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,White,1809.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,White,2733.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,White,1080.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,White,65.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,White,44.0
Baton used,Avon & Somerset,Other equipment,Baton: used,White,21.0
Not stated baton,Avon & Somerset,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,White,749.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,White,417.0
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,White,332.0
Not stated irritant spray,Avon & Somerset,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,White,235.0
Shield,Avon & Somerset,Other equipment,Shield,White,31.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,White,617.0
CED,Avon & Somerset,Less lethal weapons,CED,White,570.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,White,47.0
AEP aimed,Avon & Somerset,Less lethal weapons,AEP: Aimed,White,43.0
AEP fired,Avon & Somerset,Less lethal weapons,AEP: Fired,White,4.0
Not stated AEP,Avon & Somerset,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,White,59.0
*Total Other,Avon & Somerset,Other,Total: Other,White,263.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,White,16.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,White,15.0
Dog bite,Avon & Somerset,Other,Dog: bite,White,1.0
Not stated dog,Avon & Somerset,Other,Dog: not stated,White,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,White,247.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,White,0.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,White,6558.0
*Total Tactics,Bedfordshire,Total,Total: all,White,3245.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,White,1881.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,White,1275.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,White,714.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,White,561.0
Not stated handcuffing,Bedfordshire,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,White,221.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,White,385.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,White,915.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,White,193.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,White,33.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,White,23.0
Baton used,Bedfordshire,Other equipment,Baton: used,White,10.0
Not stated baton,Bedfordshire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,White,104.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,White,61.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,White,43.0
Not stated irritant spray,Bedfordshire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,White,49.0
Shield,Bedfordshire,Other equipment,Shield,White,7.0
