Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Total England and Wales,Total (excluding not reported and tactical communication),*Total Tactics,447337.0,94222.0,35817.0,1234.0,13736.0,11157.0,25539.0,1751.0,630793.0,Total,Total: all
Total England and Wales,Restraint,*Total Restraint,281187.0,62608.0,24461.0,903.0,8729.0,7875.0,14576.0,686.0,401025.0,Restraint,Total: Restraint
Total England and Wales,Restraint,"Handcuffing, of which",210848.0,49195.0,20591.0,769.0,6553.0,6405.0,7558.0,530.0,302449.0,Restraint,Total: Handcuffing
Total England and Wales,Restraint,Compliant handcuffing,120303.0,31193.0,14599.0,556.0,3947.0,4633.0,2103.0,257.0,177591.0,Restraint,Handcuffing: compliant
Total England and Wales,Restraint,Non-compliant handcuffing,84725.0,17506.0,5765.0,209.0,2497.0,1745.0,1970.0,176.0,114593.0,Restraint,Handcuffing: non-compliant
Total England and Wales,Restraint,Not stated handcuffing,5820.0,496.0,227.0,4.0,109.0,27.0,3485.0,97.0,10265.0,Restraint,Handcuffing: not stated
Total England and Wales,Restraint,Limb / Body restraints,19996.0,4056.0,1258.0,43.0,650.0,446.0,3488.0,57.0,29994.0,Restraint,Limb / body restraints
Total England and Wales,Restraint,Ground restraint,50343.0,9357.0,2612.0,91.0,1526.0,1024.0,3530.0,99.0,68582.0,Restraint,Ground restraint
Total England and Wales,Unarmed skills,*Total Unarmed skills,105352.0,18802.0,6811.0,211.0,3079.0,1992.0,8064.0,398.0,144709.0,Unarmed skills,Total: unarmed skills
Total England and Wales,Other equipment,*Total Other equipment,22430.0,3869.0,1310.0,25.0,654.0,403.0,1072.0,262.0,30025.0,Other equipment,Total: Other equipment
Total England and Wales,Other equipment,"Baton, of which",4088.0,1335.0,462.0,8.0,186.0,145.0,333.0,138.0,6695.0,Other equipment,Total: Baton
Total England and Wales,Other equipment,Baton drawn,2454.0,921.0,272.0,8.0,107.0,101.0,140.0,98.0,4101.0,Other equipment,Baton: drawn
Total England and Wales,Other equipment,Baton used,1522.0,396.0,176.0,0.0,75.0,43.0,97.0,38.0,2347.0,Other equipment,Baton: used
Total England and Wales,Other equipment,Not stated baton,112.0,18.0,14.0,0.0,4.0,1.0,96.0,2.0,247.0,Other equipment,Baton: not stated
Total England and Wales,Other equipment,"Irritant spray, of which",13745.0,1882.0,617.0,14.0,339.0,159.0,645.0,109.0,17510.0,Other equipment,Total: Irritant spray
Total England and Wales,Other equipment,Irritant spray - drawn,5952.0,890.0,264.0,7.0,149.0,87.0,158.0,45.0,7552.0,Other equipment,Irritant spray: drawn
Total England and Wales,Other equipment,Irritant spray - used,7672.0,974.0,352.0,7.0,188.0,71.0,183.0,54.0,9501.0,Other equipment,Irritant spray: used
Total England and Wales,Other equipment,Not stated irritant spray,121.0,18.0,1.0,0.0,2.0,1.0,304.0,10.0,457.0,Other equipment,Irritant spray: not stated
Total England and Wales,Other equipment,Spit and bite guard,3883.0,529.0,203.0,2.0,107.0,85.0,68.0,10.0,4887.0,Other equipment,Spit and bite guard
Total England and Wales,Other equipment,Shield,714.0,123.0,28.0,1.0,22.0,14.0,26.0,5.0,933.0,Other equipment,Shield
Total England and Wales,Less lethal weapons,*Total Less lethal weapons,15140.0,4456.0,1487.0,40.0,630.0,359.0,625.0,67.0,22804.0,Less lethal weapons,Total: Less lethal weapons
Total England and Wales,Less lethal weapons,CED,14562.0,4381.0,1440.0,39.0,610.0,357.0,614.0,56.0,22059.0,Less lethal weapons,CED
Total England and Wales,Less lethal weapons,"AEP, of which",578.0,75.0,47.0,1.0,20.0,2.0,11.0,11.0,745.0,Less lethal weapons,Total: AEP
Total England and Wales,Less lethal weapons,AEP aimed,498.0,65.0,43.0,1.0,15.0,1.0,8.0,11.0,642.0,Less lethal weapons,AEP: Aimed
