PFA16NM,Ethnic Group: All categories: Ethnic group; measures: Value,Ethnic Group: White; measures: Value,Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value,Ethnic Group: White: Irish; measures: Value,Ethnic Group: White: Gypsy or Irish Traveller; measures: Value,Ethnic Group: White: Other White; measures: Value,Ethnic Group: Mixed; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value,Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value,Ethnic Group: Asian; measures: Value,Ethnic Group: Asian/Asian British: Indian; measures: Value,Ethnic Group: Asian/Asian British: Pakistani; measures: Value,Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value,Ethnic Group: Asian/Asian British: Chinese; measures: Value,Ethnic Group: Asian/Asian British: Other Asian; measures: Value,Ethnic Group: Black; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value,Ethnic Group: Other; measures: Value,Ethnic Group: Other ethnic group: Arab; measures: Value,Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value
Avon & Somerset,1599555,1491970,1425794,9590,1597,54989,28277,11737,3127,7477,5936,41981,12248,8045,3302,8976,9410,30923,14561,8858,7504,6404,2315,4089
Bedfordshire,615061,476647,431171,10958,791,33727,18456,8014,2024,4645,3773,85286,21280,33065,17045,3806,10090,29725,13964,12250,3511,4947,2334,2613
Cambridgeshire,804841,726531,654849,6165,2068,63449,16029,4052,2212,5279,4486,47130,12066,14451,2791,7595,10227,10174,5906,2821,1447,4977,1798,3179
Cheshire,1027709,995998,967455,6589,633,21321,10423,3349,1482,3345,2247,16011,5474,2415,1292,3217,3613,3264,1734,1055,475,2013,828,1185
City of London,7375,5799,4243,180,3,1373,289,38,37,111,103,940,216,16,232,263,213,193,98,46,49,154,69,85
Cleveland,557227,526456,518923,1718,353,5462,5762,1438,929,2173,1222,19573,3322,10469,684,2154,2944,3156,2615,246,295,2280,1280,1000
Cumbria,499858,492257,482124,1552,315,8266,2504,751,314,881,558,4066,892,316,486,1153,1219,579,373,141,65,452,153,299
Derbyshire,1018438,949845,924420,5473,606,19346,14351,7089,1211,3825,2226,39890,15039,15599,887,3019,5346,10090,4459,4558,1073,4262,1112,3150
Devon & Cornwall,1668218,1627306,1582730,6948,1379,36249,15645,4345,1998,5462,3840,17405,3988,668,1308,5711,5730,4106,2384,1206,516,3756,1601,2155
Dorset,744041,714637,683800,4086,987,25764,9507,2486,1278,3288,2455,14175,3775,460,1315,3481,5144,3208,2055,794,359,2514,936,1578
Durham,618806,605364,594562,1557,817,8428,4240,1432,418,1443,947,7061,2094,608,764,1947,1648,1058,653,263,142,1083,571,512
Dyfed-Powys,515114,504714,491173,2568,991,9982,3262,966,353,1170,773,5270,1416,318,378,996,2162,856,415,315,126,1012,413,599
Essex,1724950,1608308,1543600,13769,2631,48308,27635,9031,4212,7833,6559,47227,16500,5055,4362,8273,13037,34679,24613,6416,3650,7101,2593,4508
