date,geography,Rural Urban,Ethnic Group: All categories: Ethnic group; measures: Value,Ethnic Group: White; measures: Value,Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value,Ethnic Group: White: Irish; measures: Value,Ethnic Group: White: Gypsy or Irish Traveller; measures: Value,Ethnic Group: White: Other White; measures: Value,Ethnic Group: Mixed; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value,Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value,Ethnic Group: Asian; measures: Value,Ethnic Group: Asian/Asian British: Indian; measures: Value,Ethnic Group: Asian/Asian British: Pakistani; measures: Value,Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value,Ethnic Group: Asian/Asian British: Chinese; measures: Value,Ethnic Group: Asian/Asian British: Other Asian; measures: Value,Ethnic Group: Black; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value,Ethnic Group: Other; measures: Value,Ethnic Group: Other ethnic group: Arab; measures: Value,Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value,LAD16NM,CSP16CD,CSP16NM,PFA16CD,PFA16NM,FID
2011,Darlington,Total,105564,101595,98898,328,350,2019,1146,463,97,350,236,2205,726,145,523,349,462,357,206,105,46,261,112,149,Darlington,E22000072,Darlington,E23000008,Durham,58
2011,County Durham,Total,513242,503769,495664,1229,467,6409,3094,969,321,1093,711,4856,1368,463,241,1598,1186,701,447,158,96,822,459,363,County Durham,E22000365,County Durham,E23000008,Durham,316
2011,Hartlepool,Total,92028,89899,88924,193,40,742,550,180,54,173,143,1304,266,291,214,229,304,170,129,36,5,105,57,48,Hartlepool,E22000027,Hartlepool,E23000013,Cleveland,33
2011,Middlesbrough,Total,138412,122055,119106,574,85,2290,2362,541,452,904,465,10768,1477,6811,244,904,1332,1731,1470,92,169,1496,950,546,Middlesbrough,E22000029,Middlesbrough,E23000013,Cleveland,39
2011,Northumberland,Total,316028,311066,307097,833,156,2980,1692,515,230,624,323,2658,939,351,295,452,621,338,193,114,31,274,73,201,Northumberland,E22000358,Northumberland,E23000007,Northumbria,320
2011,Redcar and Cleveland,Total,135177,133203,131928,415,85,775,853,298,107,273,175,869,91,295,94,155,234,122,80,34,8,130,37,93,Redcar and Cleveland,E22000028,Redcar and Cleveland,E23000013,Cleveland,45
2011,Stockton-on-Tees,Total,191610,181299,178965,536,143,1655,1997,419,316,823,439,6632,1488,3072,132,866,1074,1133,936,84,113,549,236,313,Stockton-on-Tees,E22000030,Stockton-on-Tees,E23000013,Cleveland,51
2011,Gateshead,Total,200214,192742,188355,592,87,3708,1558,412,260,523,363,3738,916,617,242,1054,909,1081,903,90,88,1095,289,806,Gateshead,E22000244,Gateshead,E23000007,Northumbria,247
2011,Newcastle upon Tyne,Total,280177,239533,229520,1826,163,8024,4279,830,859,1609,981,27107,5072,6364,4692,6037,4942,5160,4664,217,279,4098,2602,1496,Newcastle upon Tyne,E22000245,Newcastle upon Tyne,E23000007,Northumbria,254
2011,North Tyneside,Total,200801,194025,190936,596,29,2464,1815,448,385,602,380,3815,1095,319,686,869,846,734,576,91,67,412,177,235,North Tyneside,E22000246,North Tyneside,E23000007,Northumbria,261
2011,South Tyneside,Total,148127,142099,140821,305,9,964,1325,324,229,440,332,3311,643,434,1534,235,465,420,316,61,43,972,566,406,South Tyneside,E22000247,South Tyneside,E23000007,Northumbria,266
2011,Sunderland,Total,275506,264282,261209,608,70,2395,1778,539,239,608,392,7336,1736,669,2075,1536,1320,1273,1062,111,100,837,292,545,Sunderland,E22000248,Sunderland,E23000007,Northumbria,272
2011,Blackburn with Darwen,Total,147489,102009,98144,794,161,2910,1823,315,162,989,357,41494,19791,17801,1525,721,1656,933,614,202,117,1230,585,645,Blackburn with Darwen,E22000150,Blackburn with Darwen,E23000003,Lancashire,76
2011,Blackpool,Total,142065,137339,133042,1029,237,3031,1753,690,264,448,351,2282,627,223,231,514,687,346,183,111,52,345,170,175,Blackpool,E22000151,Blackpool,E23000003,Lancashire,82
2011,Cheshire East,Total,370127,357940,346264,2241,313,9122,3873,1341,461,1293,778,6060,2147,856,504,1125,1428,1402,664,511,227,852,338,514,Cheshire East,E22000354,Cheshire East,E23000006,Cheshire,325
2011,Cheshire West and Chester,Total,329608,321025,312013,2337,213,6462,3050,889,411,1059,691,4097,1242,336,576,935,1008,908,586,196,126,528,199,329,Cheshire West and Chester,E22000355,Cheshire West and Chester,E23000006,Cheshire,329
2011,Halton,Total,125746,123041,121210,654,41,1136,1356,465,253,330,308,943,282,44,60,308,249,260,95,134,31,146,54,92,Halton,E22000023,Halton,E23000006,Cheshire,65
2011,Warrington,Total,202228,193992,187968,1357,66,4601,2144,654,357,663,470,4911,1803,1179,152,849,928,694,389,214,91,487,237,250,Warrington,E22000026,Warrington,E23000006,Cheshire,71
2011,Allerdale,Total,96422,95385,94085,241,14,1045,426,134,39,179,74,477,81,34,91,123,148,73,43,20,10,61,2,59,Allerdale,E22000031,Allerdale,E23000002,Cumbria,41
2011,Barrow-in-Furness,Total,69087,67940,67073,222,39,606,360,117,45,109,89,633,137,47,43,183,223,70,56,7,7,84,35,49,Barrow-in-Furness,E22000032,Barrow-in-Furness,E23000002,Cumbria,48
2011,Carlisle,Total,107524,105480,102189,405,196,2690,535,152,91,162,130,1248,273,109,180,337,349,147,107,19,21,114,52,62,Carlisle,E22000033,Carlisle,E23000002,Cumbria,54
2011,Copeland,Total,70603,69491,68679,190,15,607,339,117,37,109,76,629,137,79,70,164,179,84,52,21,11,60,12,48,Copeland,E22000034,Copeland,E23000002,Cumbria,59
2011,Eden,Total,52564,51999,51009,139,15,836,211,66,11,89,45,292,77,7,49,79,80,22,9,7,6,40,17,23,Eden,E22000035,Eden,E23000002,Cumbria,67
2011,South Lakeland,Total,103658,101962,99089,355,36,2482,633,165,91,233,144,787,187,40,53,267,240,183,106,67,10,93,35,58,South Lakeland,E22000036,South Lakeland,E23000002,Cumbria,73
2011,Bolton,Total,276786,226645,219794,1694,214,4943,4892,1576,678,1826,812,38749,21665,12026,614,1423,3021,4652,3451,608,593,1848,727,1121,Bolton,E22000099,Bolton,E23000005,Greater Manchester,136
2011,Bury,Total,185060,165032,157897,2357,72,4706,3365,1307,444,1005,609,13407,1387,9002,311,1100,1607,1893,1116,593,184,1363,465,898,Bury,E22000100,Bury,E23000005,Greater Manchester,142
2011,Manchester,Total,503127,335109,298237,11843,509,24520,23161,8877,4397,4791,5096,85986,11417,42904,6437,13539,11689,43484,25718,9642,8124,15387,9503,5884,Manchester,E22000101,Manchester,E23000005,Greater Manchester,148
2011,Oldham,Total,224897,174326,169955,1484,62,2825,4057,1950,440,1131,536,43165,1555,22686,16310,726,1888,2797,1640,839,318,552,154,398,Oldham,E22000102,Oldham,E23000005,Greater Manchester,154
