Police force,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other
Avon & Somerset,1491970,30923,33005,8976,28277,6404
Bedfordshire,476647,29725,81480,3806,18456,4947
Cambridgeshire,726531,10174,39535,7595,16029,4977
Cheshire,995998,3264,12794,3217,10423,2013
City of London,5799,193,677,263,289,154
Cleveland,526456,3156,17419,2154,5762,2280
Cumbria,492257,579,2913,1153,2504,452
Derbyshire,949845,10090,36871,3019,14351,4262
Devon & Cornwall,1627306,4106,11694,5711,15645,3756
Dorset,714637,3208,10694,3481,9507,2514
Durham,605364,1058,5114,1947,4240,1083
Dyfed-Powys,504714,856,4274,996,3262,1012
Essex,1608308,34679,38954,8273,27635,7101
Gloucestershire,569647,5150,10522,1911,8661,1093
Greater Manchester,2248123,74097,246094,26079,60710,27425
Gwent,554377,3185,10076,1618,5547,1951
Hampshire,1771378,17445,57352,11884,30905,9027
Hertfordshire,977495,31401,64119,8462,27497,7088
Humberside,885279,4499,12191,3919,8185,3574
Kent,1607681,22879,54186,7043,27283,8593
Lancashire,1320035,5377,108784,6046,16300,4351
Leicestershire,797704,24623,155740,7872,20520,11238
Lincolnshire,696484,2561,5579,1737,6190,1102
Merseyside,1305303,14552,18851,11554,20954,9975
Metropolitan,4881636,1088447,1386619,123987,404990,280887
Norfolk,828018,4609,9809,3208,10027,2217
North Wales,670704,1497,6336,2529,4950,1921
North Yorkshire,769206,3618,9914,4182,7456,2051
Northamptonshire,632822,16923,22581,2846,14182,2598
Northumbria,1343747,9006,37782,10183,12447,7688
Nottinghamshire,969501,27287,48248,8930,30981,6535
South Wales,1198458,12738,35804,8495,17762,10394
South Yorkshire,1217653,25752,54660,9551,20791,15194
Staffordshire,1032327,8551,35148,3950,14095,3426
Suffolk,693195,6854,10972,2159,12472,2511
Surrey,1023682,12430,54037,9461,23554,9226
Sussex,1505433,14246,40865,7890,30036,8462
Thames Valley,1919646,69013,192541,16783,55986,15803
Warwickshire,505688,4443,22747,2349,7949,2298
West Mercia,1176516,5062,21715,3545,13466,2112
West Midlands,1919138,164069,493551,21430,96204,42068
West Yorkshire,1819818,46476,280764,10783,48126,20091
Wiltshire,642869,6089,17379,2164,9794,1842
