Police Force,Tactic,variable,value
Avon & Somerset,CED,White,570.0
Bedfordshire,CED,White,134.0
Cambridgeshire,CED,White,157.0
Cheshire,CED,White,327.0
City of London,CED,White,20.0
Cleveland,CED,White,238.0
Cumbria,CED,White,206.0
Derbyshire,CED,White,131.0
Devon & Cornwall,CED,White,644.0
Dorset,CED,White,182.0
Durham,CED,White,290.0
Dyfed-Powys,CED,White,194.0
Essex,CED,White,198.0
Gloucestershire,CED,White,115.0
Greater Manchester,CED,White,1118.0
Gwent,CED,White,147.0
Hampshire,CED,White,176.0
Hertfordshire,CED,White,190.0
Humberside,CED,White,538.0
Kent,CED,White,495.0
Lancashire,CED,White,386.0
Leicestershire,CED,White,439.0
Lincolnshire,CED,White,232.0
Merseyside,CED,White,290.0
Metropolitan,CED,White,3017.0
Norfolk,CED,White,0.0
North Wales,CED,White,127.0
North Yorkshire,CED,White,230.0
Northamptonshire,CED,White,446.0
Northumbria,CED,White,235.0
Nottinghamshire,CED,White,154.0
South Wales,CED,White,362.0
South Yorkshire,CED,White,438.0
Staffordshire,CED,White,0.0
Suffolk,CED,White,0.0
Surrey,CED,White,210.0
Sussex,CED,White,183.0
Thames Valley,CED,White,534.0
Warwickshire,CED,White,0.0
West Mercia,CED,White,0.0
West Midlands,CED,White,390.0
West Yorkshire,CED,White,580.0
Wiltshire,CED,White,239.0
Avon & Somerset,CED,Black (or Black British),91.0
Bedfordshire,CED,Black (or Black British),58.0
Cambridgeshire,CED,Black (or Black British),19.0
Cheshire,CED,Black (or Black British),9.0
City of London,CED,Black (or Black British),19.0
Cleveland,CED,Black (or Black British),4.0
Cumbria,CED,Black (or Black British),1.0
Derbyshire,CED,Black (or Black British),10.0
Devon & Cornwall,CED,Black (or Black British),17.0
Dorset,CED,Black (or Black British),22.0
Durham,CED,Black (or Black British),4.0
Dyfed-Powys,CED,Black (or Black British),2.0
Essex,CED,Black (or Black British),28.0
Gloucestershire,CED,Black (or Black British),11.0
Greater Manchester,CED,Black (or Black British),142.0
Gwent,CED,Black (or Black British),3.0
Hampshire,CED,Black (or Black British),12.0
Hertfordshire,CED,Black (or Black British),58.0
Humberside,CED,Black (or Black British),11.0
Kent,CED,Black (or Black British),63.0
Lancashire,CED,Black (or Black British),12.0
Leicestershire,CED,Black (or Black British),88.0
Lincolnshire,CED,Black (or Black British),16.0
Merseyside,CED,Black (or Black British),17.0
Metropolitan,CED,Black (or Black British),3055.0
Norfolk,CED,Black (or Black British),0.0
North Wales,CED,Black (or Black British),1.0
North Yorkshire,CED,Black (or Black British),6.0
Northamptonshire,CED,Black (or Black British),70.0
Northumbria,CED,Black (or Black British),6.0
Nottinghamshire,CED,Black (or Black British),29.0
South Wales,CED,Black (or Black British),63.0
South Yorkshire,CED,Black (or Black British),28.0
Staffordshire,CED,Black (or Black British),0.0
Suffolk,CED,Black (or Black British),0.0
Surrey,CED,Black (or Black British),35.0
Sussex,CED,Black (or Black British),23.0
Thames Valley,CED,Black (or Black British),144.0
Warwickshire,CED,Black (or Black British),0.0
West Mercia,CED,Black (or Black British),0.0
West Midlands,CED,Black (or Black British),125.0
West Yorkshire,CED,Black (or Black British),58.0
Wiltshire,CED,Black (or Black British),21.0
Avon & Somerset,CED,Asian (or Asian British),15.0
Bedfordshire,CED,Asian (or Asian British),27.0
Cambridgeshire,CED,Asian (or Asian British),12.0
Cheshire,CED,Asian (or Asian British),5.0
City of London,CED,Asian (or Asian British),8.0
Cleveland,CED,Asian (or Asian British),2.0
Cumbria,CED,Asian (or Asian British),1.0
Derbyshire,CED,Asian (or Asian British),7.0
Devon & Cornwall,CED,Asian (or Asian British),4.0
Dorset,CED,Asian (or Asian British),3.0
Durham,CED,Asian (or Asian British),5.0
Dyfed-Powys,CED,Asian (or Asian British),3.0
Essex,CED,Asian (or Asian British),7.0
Gloucestershire,CED,Asian (or Asian British),2.0
Greater Manchester,CED,Asian (or Asian British),94.0
Gwent,CED,Asian (or Asian British),9.0
Hampshire,CED,Asian (or Asian British),4.0
Hertfordshire,CED,Asian (or Asian British),20.0
Humberside,CED,Asian (or Asian British),10.0
Kent,CED,Asian (or Asian British),9.0
Lancashire,CED,Asian (or Asian British),20.0
Leicestershire,CED,Asian (or Asian British),49.0
Lincolnshire,CED,Asian (or Asian British),5.0
Merseyside,CED,Asian (or Asian British),2.0
Metropolitan,CED,Asian (or Asian British),745.0
Norfolk,CED,Asian (or Asian British),0.0
North Wales,CED,Asian (or Asian British),0.0
North Yorkshire,CED,Asian (or Asian British),5.0
Northamptonshire,CED,Asian (or Asian British),15.0
Northumbria,CED,Asian (or Asian British),1.0
Nottinghamshire,CED,Asian (or Asian British),4.0
South Wales,CED,Asian (or Asian British),9.0
South Yorkshire,CED,Asian (or Asian British),25.0
Staffordshire,CED,Asian (or Asian British),0.0
Suffolk,CED,Asian (or Asian British),0.0
Surrey,CED,Asian (or Asian British),6.0
Sussex,CED,Asian (or Asian British),8.0
Thames Valley,CED,Asian (or Asian British),52.0
Warwickshire,CED,Asian (or Asian British),0.0
West Mercia,CED,Asian (or Asian British),0.0
West Midlands,CED,Asian (or Asian British),133.0
West Yorkshire,CED,Asian (or Asian British),103.0
Wiltshire,CED,Asian (or Asian British),11.0
Avon & Somerset,CED,Chinese,0.0
Bedfordshire,CED,Chinese,1.0
Cambridgeshire,CED,Chinese,0.0
Cheshire,CED,Chinese,0.0
City of London,CED,Chinese,0.0
Cleveland,CED,Chinese,0.0
Cumbria,CED,Chinese,0.0
Derbyshire,CED,Chinese,0.0
Devon & Cornwall,CED,Chinese,1.0
Dorset,CED,Chinese,0.0
Durham,CED,Chinese,2.0
Dyfed-Powys,CED,Chinese,1.0
Essex,CED,Chinese,0.0
Gloucestershire,CED,Chinese,0.0
Greater Manchester,CED,Chinese,2.0
Gwent,CED,Chinese,1.0
Hampshire,CED,Chinese,0.0
Hertfordshire,CED,Chinese,0.0
Humberside,CED,Chinese,1.0
Kent,CED,Chinese,0.0
Lancashire,CED,Chinese,0.0
Leicestershire,CED,Chinese,1.0
Lincolnshire,CED,Chinese,0.0
Merseyside,CED,Chinese,0.0
Metropolitan,CED,Chinese,27.0
Norfolk,CED,Chinese,0.0
North Wales,CED,Chinese,0.0
North Yorkshire,CED,Chinese,0.0
Northamptonshire,CED,Chinese,0.0
Northumbria,CED,Chinese,0.0
Nottinghamshire,CED,Chinese,0.0
South Wales,CED,Chinese,0.0
South Yorkshire,CED,Chinese,0.0
Staffordshire,CED,Chinese,0.0
Suffolk,CED,Chinese,0.0
Surrey,CED,Chinese,1.0
Sussex,CED,Chinese,0.0
Thames Valley,CED,Chinese,0.0
Warwickshire,CED,Chinese,0.0
West Mercia,CED,Chinese,0.0
West Midlands,CED,Chinese,1.0
West Yorkshire,CED,Chinese,0.0
Wiltshire,CED,Chinese,0.0
Avon & Somerset,CED,Mixed,29.0
Bedfordshire,CED,Mixed,12.0
Cambridgeshire,CED,Mixed,5.0
Cheshire,CED,Mixed,5.0
City of London,CED,Mixed,0.0
Cleveland,CED,Mixed,1.0
Cumbria,CED,Mixed,0.0
Derbyshire,CED,Mixed,0.0
Devon & Cornwall,CED,Mixed,10.0
Dorset,CED,Mixed,0.0
Durham,CED,Mixed,0.0
Dyfed-Powys,CED,Mixed,0.0
Essex,CED,Mixed,13.0
Gloucestershire,CED,Mixed,6.0
Greater Manchester,CED,Mixed,48.0
Gwent,CED,Mixed,5.0
Hampshire,CED,Mixed,3.0
Hertfordshire,CED,Mixed,18.0
Humberside,CED,Mixed,6.0
Kent,CED,Mixed,11.0
Lancashire,CED,Mixed,5.0
Leicestershire,CED,Mixed,24.0
Lincolnshire,CED,Mixed,7.0
Merseyside,CED,Mixed,0.0
Metropolitan,CED,Mixed,214.0
Norfolk,CED,Mixed,0.0
North Wales,CED,Mixed,0.0
North Yorkshire,CED,Mixed,5.0
