Police Force,Tactic,variable,value
Avon & Somerset,CED,0-11,1.0
Bedfordshire,CED,0-11,0.0
Cambridgeshire,CED,0-11,0.0
Cheshire,CED,0-11,0.0
City of London,CED,0-11,0.0
Cleveland,CED,0-11,0.0
Cumbria,CED,0-11,1.0
Derbyshire,CED,0-11,0.0
Devon & Cornwall,CED,0-11,0.0
Dorset,CED,0-11,0.0
Durham,CED,0-11,0.0
Dyfed-Powys,CED,0-11,2.0
Essex,CED,0-11,1.0
Gloucestershire,CED,0-11,2.0
Greater Manchester,CED,0-11,8.0
Gwent,CED,0-11,0.0
Hampshire,CED,0-11,1.0
Hertfordshire,CED,0-11,0.0
Humberside,CED,0-11,1.0
Kent,CED,0-11,3.0
Lancashire,CED,0-11,1.0
Leicestershire,CED,0-11,0.0
Lincolnshire,CED,0-11,0.0
Merseyside,CED,0-11,0.0
Metropolitan,CED,0-11,0.0
Norfolk,CED,0-11,0.0
North Wales,CED,0-11,0.0
North Yorkshire,CED,0-11,0.0
Northamptonshire,CED,0-11,0.0
Northumbria,CED,0-11,0.0
Nottinghamshire,CED,0-11,0.0
South Wales,CED,0-11,2.0
South Yorkshire,CED,0-11,4.0
Staffordshire,CED,0-11,0.0
Suffolk,CED,0-11,0.0
Surrey,CED,0-11,0.0
Sussex,CED,0-11,0.0
Thames Valley,CED,0-11,0.0
Warwickshire,CED,0-11,0.0
West Mercia,CED,0-11,0.0
West Midlands,CED,0-11,1.0
West Yorkshire,CED,0-11,0.0
Wiltshire,CED,0-11,1.0
Avon & Somerset,CED,11-17,62.0
Bedfordshire,CED,11-17,20.0
Cambridgeshire,CED,11-17,18.0
Cheshire,CED,11-17,25.0
City of London,CED,11-17,2.0
Cleveland,CED,11-17,18.0
Cumbria,CED,11-17,7.0
Derbyshire,CED,11-17,7.0
Devon & Cornwall,CED,11-17,28.0
Dorset,CED,11-17,10.0
Durham,CED,11-17,16.0
Dyfed-Powys,CED,11-17,9.0
Essex,CED,11-17,20.0
Gloucestershire,CED,11-17,8.0
Greater Manchester,CED,11-17,110.0
Gwent,CED,11-17,5.0
Hampshire,CED,11-17,6.0
Hertfordshire,CED,11-17,30.0
