Tactic,Police Force,Force type - Output,Tactic - Output,age,count
*Total Tactics,Avon & Somerset,Total,Total: all,Under 11 years,21.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,Under 11 years,6.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,Under 11 years,4.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,Under 11 years,
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,Under 11 years,
Handcuffing not stated,Avon & Somerset,,,Under 11 years,4.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,Under 11 years,2.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,Under 11 years,11.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,Under 11 years,
Baton used,Avon & Somerset,Other equipment,Baton: used,Under 11 years,
Baton not stated,Avon & Somerset,,,Under 11 years,0.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,Under 11 years,
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,Under 11 years,
Irritant spray not stated,Avon & Somerset,,,Under 11 years,0.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Avon & Somerset,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Avon & Somerset,,,Under 11 years,0.0
CED non-discharge,Avon & Somerset,,,Under 11 years,0.0
CED discharge,Avon & Somerset,,,Under 11 years,0.0
CED not stated,Avon & Somerset,,,Under 11 years,0.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Avon & Somerset,,,Under 11 years,0.0
AEP used,Avon & Somerset,,,Under 11 years,0.0
AEP not stated,Avon & Somerset,,,Under 11 years,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Avon & Somerset,Other,Total: Other,Under 11 years,4.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,Under 11 years,
Dog bite,Avon & Somerset,Other,Dog: bite,Under 11 years,
Dog not stated,Avon & Somerset,,,Under 11 years,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,Under 11 years,4.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,Under 11 years,3.0
*Total Tactics,Bedfordshire,Total,Total: all,Under 11 years,4.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,Under 11 years,0.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,Under 11 years,0.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Handcuffing not stated,Bedfordshire,,,Under 11 years,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,Under 11 years,3.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Bedfordshire,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Bedfordshire,,,Under 11 years,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Bedfordshire,,,Under 11 years,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Bedfordshire,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Bedfordshire,,,Under 11 years,0.0
CED non-discharge,Bedfordshire,,,Under 11 years,0.0
CED discharge,Bedfordshire,,,Under 11 years,0.0
CED not stated,Bedfordshire,,,Under 11 years,0.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Bedfordshire,,,Under 11 years,0.0
AEP used,Bedfordshire,,,Under 11 years,0.0
AEP not stated,Bedfordshire,,,Under 11 years,0.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Bedfordshire,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Bedfordshire,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Bedfordshire,Other,Dog: bite,Under 11 years,0.0
Dog not stated,Bedfordshire,,,Under 11 years,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,Under 11 years,0.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,Under 11 years,4.0
*Total Tactics,Cambridgeshire,Total,Total: all,Under 11 years,4.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,Under 11 years,0.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,Under 11 years,0.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Handcuffing not stated,Cambridgeshire,,,Under 11 years,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,Under 11 years,3.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Cambridgeshire,Other equipment,Baton: used,Under 11 years,0.0
Baton not stated,Cambridgeshire,,,Under 11 years,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,Under 11 years,0.0
Irritant spray not stated,Cambridgeshire,,,Under 11 years,0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Cambridgeshire,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED of which,Cambridgeshire,,,Under 11 years,0.0
CED non-discharge,Cambridgeshire,,,Under 11 years,0.0
CED discharge,Cambridgeshire,,,Under 11 years,0.0
CED not stated,Cambridgeshire,,,Under 11 years,0.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP drawn,Cambridgeshire,,,Under 11 years,0.0
AEP used,Cambridgeshire,,,Under 11 years,0.0
AEP not stated,Cambridgeshire,,,Under 11 years,0.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,Under 11 years,0.0
