Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Avon & Somerset,Total (excluding not reported and tactical communication),*Total Tactics,21.0,1905.0,11799.0,5513.0,1623.0,121.0,111.0,21093.0,Total,Total: all
Avon & Somerset,Restraint,*Total Restraint,6.0,901.0,5621.0,2585.0,735.0,48.0,31.0,9927.0,Restraint,Total: Restraint
Avon & Somerset,Restraint,"Handcuffing, of which",4.0,693.0,4278.0,2042.0,592.0,45.0,26.0,7680.0,Restraint,Total: Handcuffing
Avon & Somerset,Restraint,Compliant handcuffing,:,:,:,:,:,:,:,:,Restraint,Handcuffing: compliant
Avon & Somerset,Restraint,Non-compliant handcuffing,:,:,:,:,:,:,:,:,Restraint,Handcuffing: non-compliant
Avon & Somerset,Restraint,Handcuffing not stated,4.0,693.0,4278.0,2042.0,592.0,45.0,26.0,7680.0,,
Avon & Somerset,Restraint,Limb / Body restraints,2.0,79.0,555.0,184.0,48.0,1.0,1.0,870.0,Restraint,Limb / body restraints
Avon & Somerset,Restraint,Ground restraint,0.0,129.0,788.0,359.0,95.0,2.0,4.0,1377.0,Restraint,Ground restraint
Avon & Somerset,Unarmed skills,*Total Unarmed skills,11.0,797.0,4467.0,2068.0,627.0,58.0,42.0,8070.0,Unarmed skills,Total: unarmed skills
Avon & Somerset,Other equipment,*Total Other equipment,0.0,46.0,530.0,256.0,77.0,1.0,16.0,926.0,Other equipment,Total: Other equipment
Avon & Somerset,Other equipment,"Baton, of which",0.0,8.0,28.0,9.0,2.0,0.0,12.0,59.0,Other equipment,Total: Baton
Avon & Somerset,Other equipment,Baton drawn,:,:,:,:,:,:,:,:,Other equipment,Baton: drawn
Avon & Somerset,Other equipment,Baton used,:,:,:,:,:,:,:,:,Other equipment,Baton: used
Avon & Somerset,Other equipment,Baton not stated,0.0,8.0,28.0,9.0,2.0,0.0,12.0,59.0,,
Avon & Somerset,Other equipment,"Irritant spray, of which",0.0,29.0,340.0,181.0,53.0,1.0,4.0,608.0,Other equipment,Total: Irritant spray
Avon & Somerset,Other equipment,Irritant spray - drawn,:,:,:,:,:,:,:,:,Other equipment,Irritant spray: drawn
Avon & Somerset,Other equipment,Irritant spray - used,:,:,:,:,:,:,:,:,Other equipment,Irritant spray: used
Avon & Somerset,Other equipment,Irritant spray not stated,0.0,29.0,340.0,181.0,53.0,1.0,4.0,608.0,,
Avon & Somerset,Other equipment,Spit and bite guard,0.0,9.0,162.0,66.0,22.0,0.0,0.0,259.0,Other equipment,Spit and bite guard
Avon & Somerset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Shield
Avon & Somerset,Less lethal weapons,*Total Less lethal weapons,0.0,71.0,636.0,278.0,87.0,1.0,5.0,1078.0,Less lethal weapons,Total: Less lethal weapons
Avon & Somerset,Less lethal weapons,CED of which,0.0,71.0,636.0,278.0,87.0,1.0,5.0,1078.0,,
Avon & Somerset,Less lethal weapons,CED non-discharge,0.0,64.0,516.0,216.0,69.0,1.0,5.0,871.0,,
Avon & Somerset,Less lethal weapons,CED discharge,0.0,6.0,112.0,59.0,11.0,0.0,0.0,188.0,,
Avon & Somerset,Less lethal weapons,CED not stated,0.0,1.0,8.0,3.0,7.0,0.0,0.0,19.0,,
Avon & Somerset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Avon & Somerset,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avon & Somerset,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avon & Somerset,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avon & Somerset,Firearms,*Total Firearms,0.0,0.0,15.0,3.0,3.0,1.0,0.0,22.0,Firearms,Total: Firearms
Avon & Somerset,Other,*Total Other,4.0,90.0,530.0,323.0,94.0,12.0,17.0,1070.0,Other,Total: Other
Avon & Somerset,Other,"Dog use, of which",0.0,2.0,10.0,2.0,0.0,0.0,0.0,14.0,Other,Total: Dog
Avon & Somerset,Other,Dog deployed,:,:,:,:,:,:,:,:,Other,Dog: deployed
Avon & Somerset,Other,Dog bite,:,:,:,:,:,:,:,:,Other,Dog: bite
Avon & Somerset,Other,Dog not stated,0.0,2.0,10.0,2.0,0.0,0.0,0.0,14.0,,
Avon & Somerset,Other,Other / improvised,4.0,88.0,520.0,321.0,94.0,12.0,17.0,1056.0,Other,Other / improvised
Avon & Somerset,Not reported,*Total Not reported,0.0,17.0,88.0,39.0,11.0,3.0,3.0,161.0,Not reported,Total: Not reported
Avon & Somerset,Tactical communication,Tactical communication,3.0,222.0,1492.0,711.0,194.0,14.0,21.0,2657.0,Excluded: Tactical Communication,Tactical Communication
Bedfordshire,Total (excluding not reported and tactical communication),*Total Tactics,4.0,619.0,3792.0,1563.0,451.0,38.0,63.0,6530.0,Total,Total: all
Bedfordshire,Restraint,*Total Restraint,0.0,369.0,2150.0,920.0,288.0,23.0,32.0,3782.0,Restraint,Total: Restraint
Bedfordshire,Restraint,"Handcuffing, of which",0.0,270.0,1445.0,689.0,224.0,17.0,21.0,2666.0,Restraint,Total: Handcuffing
Bedfordshire,Restraint,Compliant handcuffing,0.0,158.0,755.0,388.0,137.0,8.0,10.0,1456.0,Restraint,Handcuffing: compliant
Bedfordshire,Restraint,Non-compliant handcuffing,0.0,112.0,690.0,301.0,87.0,9.0,11.0,1210.0,Restraint,Handcuffing: non-compliant
Bedfordshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Bedfordshire,Restraint,Limb / Body restraints,0.0,33.0,266.0,89.0,31.0,4.0,5.0,428.0,Restraint,Limb / body restraints
Bedfordshire,Restraint,Ground restraint,0.0,66.0,439.0,142.0,33.0,2.0,6.0,688.0,Restraint,Ground restraint
Bedfordshire,Unarmed skills,*Total Unarmed skills,3.0,174.0,1134.0,429.0,124.0,11.0,19.0,1894.0,Unarmed skills,Total: unarmed skills
Bedfordshire,Other equipment,*Total Other equipment,0.0,29.0,228.0,103.0,17.0,0.0,5.0,382.0,Other equipment,Total: Other equipment
Bedfordshire,Other equipment,"Baton, of which",0.0,6.0,45.0,20.0,1.0,0.0,0.0,72.0,Other equipment,Total: Baton
Bedfordshire,Other equipment,Baton drawn,0.0,3.0,29.0,13.0,1.0,0.0,0.0,46.0,Other equipment,Baton: drawn
Bedfordshire,Other equipment,Baton used,0.0,3.0,16.0,7.0,0.0,0.0,0.0,26.0,Other equipment,Baton: used
Bedfordshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Bedfordshire,Other equipment,"Irritant spray, of which",0.0,18.0,130.0,56.0,11.0,0.0,4.0,219.0,Other equipment,Total: Irritant spray
Bedfordshire,Other equipment,Irritant spray - drawn,0.0,10.0,70.0,29.0,6.0,0.0,2.0,117.0,Other equipment,Irritant spray: drawn
Bedfordshire,Other equipment,Irritant spray - used,0.0,8.0,58.0,26.0,5.0,0.0,2.0,99.0,Other equipment,Irritant spray: used
Bedfordshire,Other equipment,Irritant spray not stated,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,,
Bedfordshire,Other equipment,Spit and bite guard,0.0,5.0,47.0,23.0,4.0,0.0,1.0,80.0,Other equipment,Spit and bite guard
Bedfordshire,Other equipment,Shield,0.0,0.0,6.0,4.0,1.0,0.0,0.0,11.0,Other equipment,Shield
Bedfordshire,Less lethal weapons,*Total Less lethal weapons,0.0,28.0,141.0,61.0,12.0,2.0,5.0,250.0,Less lethal weapons,Total: Less lethal weapons
Bedfordshire,Less lethal weapons,CED of which,0.0,28.0,138.0,61.0,12.0,2.0,5.0,247.0,,
Bedfordshire,Less lethal weapons,CED non-discharge,0.0,25.0,124.0,53.0,10.0,2.0,3.0,217.0,,
Bedfordshire,Less lethal weapons,CED discharge,0.0,3.0,10.0,6.0,2.0,0.0,2.0,24.0,,
