Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Mixed,Other,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Avon & Somerset,Total (excluding not reported and tactical communication),*Total Tactics,12788.0,954.0,153.0,183.0,72.0,6943.0,21093.0,Total,Total: all
Avon & Somerset,Restraint,*Total Restraint,5955.0,433.0,79.0,87.0,33.0,3340.0,9927.0,Restraint,Total: Restraint
Avon & Somerset,Restraint,"Handcuffing, of which",4569.0,351.0,62.0,62.0,25.0,2611.0,7680.0,Restraint,Total: Handcuffing
Avon & Somerset,Restraint,Compliant handcuffing,:,:,:,:,:,:,:,Restraint,Handcuffing: compliant
Avon & Somerset,Restraint,Non-compliant handcuffing,:,:,:,:,:,:,:,Restraint,Handcuffing: non-compliant
Avon & Somerset,Restraint,Handcuffing not stated,4569.0,351.0,62.0,62.0,25.0,2611.0,7680.0,,
Avon & Somerset,Restraint,Limb / Body restraints,522.0,25.0,7.0,19.0,6.0,291.0,870.0,Restraint,Limb / body restraints
Avon & Somerset,Restraint,Ground restraint,864.0,57.0,10.0,6.0,2.0,438.0,1377.0,Restraint,Ground restraint
Avon & Somerset,Unarmed skills,*Total Unarmed skills,4886.0,337.0,52.0,77.0,28.0,2690.0,8070.0,Unarmed skills,Total: unarmed skills
Avon & Somerset,Other equipment,*Total Other equipment,599.0,56.0,6.0,5.0,3.0,257.0,926.0,Other equipment,Total: Other equipment
Avon & Somerset,Other equipment,"Baton, of which",28.0,5.0,0.0,0.0,0.0,26.0,59.0,Other equipment,Total: Baton
Avon & Somerset,Other equipment,Baton drawn,:,:,:,:,:,:,:,Other equipment,Baton: drawn
Avon & Somerset,Other equipment,Baton used,:,:,:,:,:,:,:,Other equipment,Baton: used
Avon & Somerset,Other equipment,Baton not stated,28.0,5.0,0.0,0.0,0.0,26.0,59.0,,
Avon & Somerset,Other equipment,"Irritant spray, of which",406.0,43.0,4.0,5.0,2.0,148.0,608.0,Other equipment,Total: Irritant spray
Avon & Somerset,Other equipment,Irritant spray - drawn,:,:,:,:,:,:,:,Other equipment,Irritant spray: drawn
Avon & Somerset,Other equipment,Irritant spray - used,:,:,:,:,:,:,:,Other equipment,Irritant spray: used
Avon & Somerset,Other equipment,Irritant spray not stated,406.0,43.0,4.0,5.0,2.0,148.0,608.0,,
Avon & Somerset,Other equipment,Spit and bite guard,165.0,8.0,2.0,0.0,1.0,83.0,259.0,Other equipment,Spit and bite guard
Avon & Somerset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Shield
Avon & Somerset,Less lethal weapons,*Total Less lethal weapons,703.0,77.0,5.0,3.0,2.0,288.0,1078.0,Less lethal weapons,Total: Less lethal weapons
Avon & Somerset,Less lethal weapons,CED of which,703.0,77.0,5.0,3.0,2.0,288.0,1078.0,,
Avon & Somerset,Less lethal weapons,CED non-discharge,553.0,67.0,5.0,2.0,1.0,243.0,871.0,,
Avon & Somerset,Less lethal weapons,CED discharge,138.0,6.0,0.0,1.0,1.0,42.0,188.0,,
Avon & Somerset,Less lethal weapons,CED not stated,12.0,4.0,0.0,0.0,0.0,3.0,19.0,,
Avon & Somerset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Avon & Somerset,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avon & Somerset,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avon & Somerset,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avon & Somerset,Firearms,*Total Firearms,9.0,1.0,1.0,0.0,0.0,11.0,22.0,Firearms,Total: Firearms
Avon & Somerset,Other,*Total Other,636.0,50.0,10.0,11.0,6.0,357.0,1070.0,Other,Total: Other
Avon & Somerset,Other,"Dog use, of which",9.0,0.0,0.0,0.0,0.0,5.0,14.0,Other,Total: Dog
Avon & Somerset,Other,Dog deployed,:,:,:,:,:,:,:,Other,Dog: deployed
Avon & Somerset,Other,Dog bite,:,:,:,:,:,:,:,Other,Dog: bite
Avon & Somerset,Other,Dog not stated,9.0,0.0,0.0,0.0,0.0,5.0,14.0,,
Avon & Somerset,Other,Other / improvised,627.0,50.0,10.0,11.0,6.0,352.0,1056.0,Other,Other / improvised
Avon & Somerset,Not reported,*Total Not reported,90.0,4.0,3.0,3.0,1.0,60.0,161.0,Not reported,Total: Not reported
Avon & Somerset,Tactical communication,Tactical communication,1626.0,127.0,19.0,28.0,9.0,848.0,2657.0,Excluded: Tactical Communication,Tactical Communication
Bedfordshire,Total (excluding not reported and tactical communication),*Total Tactics,4132.0,1114.0,711.0,218.0,251.0,104.0,6530.0,Total,Total: all
Bedfordshire,Restraint,*Total Restraint,2394.0,631.0,424.0,115.0,169.0,49.0,3782.0,Restraint,Total: Restraint
