Tactic,Police Force,Force type - Output,Tactic - Output,health-condition,count
*Total Tactics,Avon & Somerset,Total,Total: all,Mental,1815.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,Mental,830.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,Mental,598.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,Mental,
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,Mental,
Handcuffing not stated,Avon & Somerset,,,Mental,598.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,Mental,108.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,Mental,124.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,Mental,744.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,Mental,62.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,Mental,1.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,Mental,
Baton used,Avon & Somerset,Other equipment,Baton: used,Mental,
Baton not stated,Avon & Somerset,,,Mental,1.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,Mental,36.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,Mental,
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,Mental,
Irritant spray not stated,Avon & Somerset,,,Mental,36.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,Mental,25.0
Shield,Avon & Somerset,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,Mental,75.0
CED of which,Avon & Somerset,,,Mental,75.0
CED non-discharge,Avon & Somerset,,,Mental,62.0
CED discharge,Avon & Somerset,,,Mental,11.0
CED not stated,Avon & Somerset,,,Mental,2.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Avon & Somerset,,,Mental,0.0
AEP used,Avon & Somerset,,,Mental,0.0
AEP not stated,Avon & Somerset,,,Mental,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,Mental,0.0
*Total Other,Avon & Somerset,Other,Total: Other,Mental,104.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,Mental,0.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,Mental,
Dog bite,Avon & Somerset,Other,Dog: bite,Mental,
Dog not stated,Avon & Somerset,,,Mental,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,Mental,104.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,Mental,12.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,Mental,238.0
*Total Tactics,Bedfordshire,Total,Total: all,Mental,1096.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,Mental,600.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,Mental,381.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,Mental,164.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,Mental,217.0
Handcuffing not stated,Bedfordshire,,,Mental,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,Mental,102.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,Mental,117.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,Mental,349.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,Mental,65.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,Mental,8.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,Mental,5.0
Baton used,Bedfordshire,Other equipment,Baton: used,Mental,3.0
Baton not stated,Bedfordshire,,,Mental,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,Mental,31.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,Mental,17.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,Mental,14.0
Irritant spray not stated,Bedfordshire,,,Mental,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,Mental,24.0
Shield,Bedfordshire,Other equipment,Shield,Mental,2.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,Mental,46.0
CED of which,Bedfordshire,,,Mental,46.0
CED non-discharge,Bedfordshire,,,Mental,40.0
CED discharge,Bedfordshire,,,Mental,6.0
CED not stated,Bedfordshire,,,Mental,0.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP drawn,Bedfordshire,,,Mental,0.0
AEP used,Bedfordshire,,,Mental,0.0
AEP not stated,Bedfordshire,,,Mental,0.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,Mental,0.0
*Total Other,Bedfordshire,Other,Total: Other,Mental,36.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,Mental,0.0
Dog deployed,Bedfordshire,Other,Dog: deployed,Mental,0.0
Dog bite,Bedfordshire,Other,Dog: bite,Mental,0.0
Dog not stated,Bedfordshire,,,Mental,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,Mental,36.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,Mental,570.0
*Total Tactics,Cambridgeshire,Total,Total: all,Mental,1621.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,Mental,814.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,Mental,481.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,Mental,157.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,Mental,324.0
Handcuffing not stated,Cambridgeshire,,,Mental,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,Mental,133.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,Mental,200.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,Mental,515.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,Mental,139.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,Mental,15.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,Mental,9.0
Baton used,Cambridgeshire,Other equipment,Baton: used,Mental,6.0
Baton not stated,Cambridgeshire,,,Mental,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,Mental,78.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,Mental,49.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,Mental,29.0
Irritant spray not stated,Cambridgeshire,,,Mental,0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,Mental,32.0
Shield,Cambridgeshire,Other equipment,Shield,Mental,14.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,Mental,49.0
CED of which,Cambridgeshire,,,Mental,48.0
CED non-discharge,Cambridgeshire,,,Mental,38.0
CED discharge,Cambridgeshire,,,Mental,10.0
CED not stated,Cambridgeshire,,,Mental,0.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,Mental,1.0
AEP drawn,Cambridgeshire,,,Mental,1.0
