Police Force,Type of force,Tactic,Mental,Physical,Physical and mental,None,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Avon & Somerset,Total (excluding not reported and tactical communication),*Total Tactics,1815.0,0.0,0.0,19278.0,0.0,21093.0,Total,Total: all
Avon & Somerset,Restraint,*Total Restraint,830.0,0.0,0.0,9097.0,0.0,9927.0,Restraint,Total: Restraint
Avon & Somerset,Restraint,"Handcuffing, of which",598.0,0.0,0.0,7082.0,0.0,7680.0,Restraint,Total: Handcuffing
Avon & Somerset,Restraint,Compliant handcuffing,,,,,,,Restraint,Handcuffing: compliant
Avon & Somerset,Restraint,Non-compliant handcuffing,,,,,,,Restraint,Handcuffing: non-compliant
Avon & Somerset,Restraint,Handcuffing not stated,598.0,0.0,0.0,7082.0,0.0,7680.0,,
Avon & Somerset,Restraint,Limb / Body restraints,108.0,0.0,0.0,762.0,0.0,870.0,Restraint,Limb / body restraints
Avon & Somerset,Restraint,Ground restraint,124.0,0.0,0.0,1253.0,0.0,1377.0,Restraint,Ground restraint
Avon & Somerset,Unarmed skills,*Total Unarmed skills,744.0,0.0,0.0,7326.0,0.0,8070.0,Unarmed skills,Total: unarmed skills
Avon & Somerset,Other equipment,*Total Other equipment,62.0,0.0,0.0,864.0,0.0,926.0,Other equipment,Total: Other equipment
Avon & Somerset,Other equipment,"Baton, of which",1.0,0.0,0.0,58.0,0.0,59.0,Other equipment,Total: Baton
Avon & Somerset,Other equipment,Baton drawn,,,,,,,Other equipment,Baton: drawn
Avon & Somerset,Other equipment,Baton used,,,,,,,Other equipment,Baton: used
Avon & Somerset,Other equipment,Baton not stated,1.0,0.0,0.0,58.0,0.0,59.0,,
Avon & Somerset,Other equipment,"Irritant spray, of which",36.0,0.0,0.0,572.0,0.0,608.0,Other equipment,Total: Irritant spray
Avon & Somerset,Other equipment,Irritant spray - drawn,,,,,,,Other equipment,Irritant spray: drawn
Avon & Somerset,Other equipment,Irritant spray - used,,,,,,,Other equipment,Irritant spray: used
Avon & Somerset,Other equipment,Irritant spray not stated,36.0,0.0,0.0,572.0,0.0,608.0,,
Avon & Somerset,Other equipment,Spit and bite guard,25.0,0.0,0.0,234.0,0.0,259.0,Other equipment,Spit and bite guard
Avon & Somerset,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Shield
Avon & Somerset,Less lethal weapons,*Total Less lethal weapons,75.0,0.0,0.0,1003.0,0.0,1078.0,Less lethal weapons,Total: Less lethal weapons
Avon & Somerset,Less lethal weapons,CED of which,75.0,0.0,0.0,1003.0,0.0,1078.0,,
Avon & Somerset,Less lethal weapons,CED non-discharge,62.0,0.0,0.0,809.0,0.0,871.0,,
Avon & Somerset,Less lethal weapons,CED discharge,11.0,0.0,0.0,177.0,0.0,188.0,,
Avon & Somerset,Less lethal weapons,CED not stated,2.0,0.0,0.0,17.0,0.0,19.0,,
Avon & Somerset,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,Total: AEP
Avon & Somerset,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,,
Avon & Somerset,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,,
Avon & Somerset,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,,
Avon & Somerset,Firearms,*Total Firearms,0.0,0.0,0.0,22.0,0.0,22.0,Firearms,Total: Firearms
Avon & Somerset,Other,*Total Other,104.0,0.0,0.0,966.0,0.0,1070.0,Other,Total: Other
Avon & Somerset,Other,"Dog use, of which",0.0,0.0,0.0,14.0,0.0,14.0,Other,Total: Dog
Avon & Somerset,Other,Dog deployed,,,,,,,Other,Dog: deployed
Avon & Somerset,Other,Dog bite,,,,,,,Other,Dog: bite
Avon & Somerset,Other,Dog not stated,0.0,0.0,0.0,14.0,0.0,14.0,,
Avon & Somerset,Other,Other / improvised,104.0,0.0,0.0,952.0,0.0,1056.0,Other,Other / improvised
Avon & Somerset,Not reported,*Total Not reported,12.0,0.0,0.0,149.0,0.0,161.0,Not reported,Total: Not reported
Avon & Somerset,Tactical communication,Tactical communication,238.0,0.0,0.0,2419.0,0.0,2657.0,Excluded: Tactical Communication,Tactical Communication
Bedfordshire,Total (excluding not reported and tactical communication),*Total Tactics,1096.0,24.0,68.0,5342.0,0.0,6530.0,Total,Total: all
Bedfordshire,Restraint,*Total Restraint,600.0,11.0,38.0,3133.0,0.0,3782.0,Restraint,Total: Restraint
Bedfordshire,Restraint,"Handcuffing, of which",381.0,11.0,24.0,2250.0,0.0,2666.0,Restraint,Total: Handcuffing
Bedfordshire,Restraint,Compliant handcuffing,164.0,5.0,10.0,1277.0,0.0,1456.0,Restraint,Handcuffing: compliant
Bedfordshire,Restraint,Non-compliant handcuffing,217.0,6.0,14.0,973.0,0.0,1210.0,Restraint,Handcuffing: non-compliant
Bedfordshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,,
Bedfordshire,Restraint,Limb / Body restraints,102.0,0.0,7.0,319.0,0.0,428.0,Restraint,Limb / body restraints
Bedfordshire,Restraint,Ground restraint,117.0,0.0,7.0,564.0,0.0,688.0,Restraint,Ground restraint
Bedfordshire,Unarmed skills,*Total Unarmed skills,349.0,9.0,21.0,1515.0,0.0,1894.0,Unarmed skills,Total: unarmed skills
Bedfordshire,Other equipment,*Total Other equipment,65.0,2.0,4.0,311.0,0.0,382.0,Other equipment,Total: Other equipment
Bedfordshire,Other equipment,"Baton, of which",8.0,1.0,0.0,63.0,0.0,72.0,Other equipment,Total: Baton
