Total discharge,Total non-discharge,Not stated,Total,ytd,Police force,Drawn,Aimed,Red-dot,Arced,Drive stun,Fired,Angled drive stun
188.0,871.0,19.0,1078.0,2020-03-31,Avon & Somerset,,,,,,,
24.0,217.0,6.0,247.0,2020-03-31,Bedfordshire,,,,,,,
21.0,187.0,0.0,208.0,2020-03-31,Cambridgeshire,,,,,,,
46.0,441.0,0.0,487.0,2020-03-31,Cheshire,,,,,,,
6.0,128.0,0.0,134.0,2020-03-31,City of London,,,,,,,
21.0,302.0,7.0,330.0,2020-03-31,Cleveland,,,,,,,
29.0,284.0,2.0,315.0,2020-03-31,Cumbria,,,,,,,
21.0,189.0,1.0,211.0,2020-03-31,Derbyshire,,,,,,,
90.0,625.0,18.0,733.0,2020-03-31,Devon & Cornwall,,,,,,,
20.0,186.0,0.0,206.0,2020-03-31,Dorset,,,,,,,
47.0,290.0,11.0,348.0,2020-03-31,Durham,,,,,,,
26.0,273.0,0.0,299.0,2020-03-31,Dyfed-Powys,,,,,,,
29.0,233.0,119.0,381.0,2020-03-31,Essex,,,,,,,
22.0,63.0,17.0,102.0,2020-03-31,Gloucestershire,,,,,,,
174.0,1158.0,211.0,1543.0,2020-03-31,Greater Manchester,,,,,,,
24.0,156.0,38.0,218.0,2020-03-31,Gwent,,,,,,,
51.0,368.0,61.0,480.0,2020-03-31,Hampshire,,,,,,,
42.0,378.0,1.0,421.0,2020-03-31,Hertfordshire,,,,,,,
80.0,532.0,192.0,804.0,2020-03-31,Humberside,,,,,,,
116.0,417.0,330.0,863.0,2020-03-31,Kent,,,,,,,
70.0,373.0,0.0,443.0,2020-03-31,Lancashire,,,,,,,
36.0,729.0,0.0,765.0,2020-03-31,Leicestershire,,,,,,,
42.0,351.0,2.0,395.0,2020-03-31,Lincolnshire,,,,,,,
29.0,309.0,0.0,338.0,2020-03-31,Merseyside,,,,,,,
935.0,9133.0,0.0,10068.0,2020-03-31,Metropolitan,,,,,,,
,,588.0,588.0,2020-03-31,Norfolk,,,,,,,
18.0,151.0,0.0,169.0,2020-03-31,North Wales,,,,,,,
33.0,181.0,0.0,214.0,2020-03-31,North Yorkshire,,,,,,,
25.0,526.0,4.0,555.0,2020-03-31,Northamptonshire,,,,,,,
51.0,292.0,0.0,343.0,2020-03-31,Northumbria,,,,,,,
42.0,346.0,0.0,388.0,2020-03-31,Nottinghamshire,,,,,,,
79.0,508.0,177.0,764.0,2020-03-31,South Wales,,,,,,,
86.0,476.0,0.0,562.0,2020-03-31,South Yorkshire,,,,,,,
19.0,153.0,1.0,173.0,2020-03-31,Staffordshire,,,,,,,
,,363.0,363.0,2020-03-31,Suffolk,,,,,,,
40.0,388.0,0.0,428.0,2020-03-31,Surrey,,,,,,,
80.0,817.0,0.0,897.0,2020-03-31,Sussex,,,,,,,
127.0,860.0,50.0,1037.0,2020-03-31,Thames Valley,,,,,,,
16.0,168.0,0.0,184.0,2020-03-31,Warwickshire,,,,,,,
18.0,407.0,0.0,425.0,2020-03-31,West Mercia,,,,,,,
309.0,2118.0,0.0,2427.0,2020-03-31,West Midlands,,,,,,,
80.0,788.0,0.0,868.0,2020-03-31,West Yorkshire,,,,,,,
36.0,219.0,0.0,255.0,2020-03-31,Wiltshire,,,,,,,
31.0,218.0,0.0,249.0,2019-03-31,Cleveland,54.0,10.0,153.0,1.0,0.0,31.0,0.0
52.0,244.0,8.0,304.0,2019-03-31,Durham,58.0,21.0,164.0,1.0,1.0,51.0,0.0
60.0,182.0,0.0,242.0,2019-03-31,Northumbria,39.0,18.0,124.0,1.0,0.0,60.0,0.0
45.0,393.0,0.0,438.0,2019-03-31,Cheshire,174.0,48.0,171.0,0.0,0.0,44.0,1.0
30.0,184.0,0.0,214.0,2019-03-31,Cumbria,82.0,15.0,87.0,0.0,2.0,28.0,0.0
242.0,1197.0,3.0,1442.0,2019-03-31,Greater Manchester,253.0,137.0,795.0,12.0,6.0,234.0,2.0
82.0,300.0,46.0,428.0,2019-03-31,Lancashire,114.0,28.0,155.0,3.0,1.0,80.0,1.0
30.0,291.0,0.0,321.0,2019-03-31,Merseyside,97.0,40.0,154.0,0.0,0.0,30.0,0.0
89.0,483.0,0.0,572.0,2019-03-31,Humberside,101.0,60.0,308.0,14.0,2.0,79.0,8.0
47.0,196.0,3.0,246.0,2019-03-31,North Yorkshire,50.0,13.0,132.0,1.0,0.0,46.0,1.0
77.0,433.0,0.0,510.0,2019-03-31,South Yorkshire,115.0,27.0,289.0,2.0,0.0,74.0,3.0
87.0,697.0,0.0,784.0,2019-03-31,West Yorkshire,146.0,47.0,501.0,3.0,1.0,82.0,4.0
23.0,130.0,0.0,153.0,2019-03-31,Derbyshire,35.0,15.0,76.0,4.0,1.0,22.0,0.0
21.0,594.0,0.0,615.0,2019-03-31,Leicestershire,176.0,52.0,349.0,17.0,0.0,19.0,2.0
29.0,238.0,0.0,267.0,2019-03-31,Lincolnshire,91.0,24.0,121.0,2.0,0.0,29.0,0.0
36.0,524.0,0.0,560.0,2019-03-31,Northamptonshire,212.0,38.0,271.0,3.0,0.0,35.0,1.0
23.0,174.0,0.0,197.0,2019-03-31,Nottinghamshire,41.0,7.0,123.0,3.0,0.0,23.0,0.0
26.0,243.0,0.0,269.0,2019-03-31,Staffordshire,91.0,31.0,121.0,0.0,0.0,26.0,0.0
14.0,131.0,0.0,145.0,2019-03-31,Warwickshire,52.0,13.0,64.0,2.0,0.0,14.0,0.0
21.0,310.0,0.0,331.0,2019-03-31,West Mercia,107.0,20.0,182.0,1.0,0.0,21.0,0.0
112.0,594.0,0.0,706.0,2019-03-31,West Midlands,112.0,96.0,381.0,5.0,4.0,103.0,5.0
31.0,215.0,2.0,248.0,2019-03-31,Bedfordshire,41.0,24.0,150.0,0.0,2.0,28.0,1.0
21.0,183.0,1.0,205.0,2019-03-31,Cambridgeshire,30.0,20.0,133.0,0.0,1.0,20.0,0.0
47.0,94.0,106.0,247.0,2019-03-31,Essex,24.0,10.0,60.0,0.0,0.0,47.0,0.0
29.0,260.0,8.0,297.0,2019-03-31,Hertfordshire,72.0,33.0,152.0,3.0,2.0,26.0,1.0
41.0,385.0,0.0,426.0,2019-03-31,Norfolk,139.0,27.0,214.0,5.0,0.0,40.0,1.0
12.0,209.0,0.0,221.0,2019-03-31,Suffolk,91.0,12.0,106.0,0.0,1.0,11.0,0.0
3.0,46.0,0.0,49.0,2019-03-31,City of London,17.0,4.0,24.0,1.0,0.0,3.0,0.0
704.0,6692.0,0.0,7396.0,2019-03-31,Metropolitan,1960.0,834.0,3863.0,35.0,15.0,673.0,16.0
17.0,68.0,124.0,209.0,2019-03-31,Hampshire,12.0,7.0,46.0,3.0,0.0,17.0,0.0
71.0,298.0,219.0,588.0,2019-03-31,Kent,120.0,22.0,151.0,5.0,0.0,71.0,0.0
34.0,253.0,0.0,287.0,2019-03-31,Surrey,71.0,28.0,150.0,4.0,0.0,34.0,0.0
50.0,341.0,0.0,391.0,2019-03-31,Sussex,64.0,44.0,233.0,0.0,2.0,48.0,0.0
77.0,647.0,54.0,778.0,2019-03-31,Thames Valley,176.0,54.0,411.0,6.0,2.0,73.0,2.0
108.0,623.0,2.0,733.0,2019-03-31,Avon & Somerset,129.0,64.0,423.0,7.0,7.0,100.0,1.0
85.0,558.0,53.0,696.0,2019-03-31,Devon & Cornwall,138.0,52.0,359.0,9.0,0.0,85.0,0.0
26.0,226.0,0.0,252.0,2019-03-31,Dorset,64.0,28.0,134.0,0.0,0.0,26.0,0.0
31.0,102.0,4.0,137.0,2019-03-31,Gloucestershire,13.0,8.0,80.0,1.0,1.0,29.0,1.0
