Police force,2015-12-31,2016-12-31,2018-03-31,2019-03-31,2020-03-31
Avon & Somerset,660.0,608.0,643.0,733.0,1078.0
Bedfordshire,72.0,107.0,147.0,248.0,247.0
Cambridgeshire,72.0,93.0,149.0,205.0,208.0
Cheshire,140.0,232.0,188.0,438.0,487.0
City of London,35.0,35.0,76.0,49.0,134.0
Cleveland,61.0,75.0,191.0,249.0,330.0
Cumbria,90.0,114.0,171.0,214.0,315.0
Derbyshire,87.0,75.0,68.0,153.0,211.0
Devon & Cornwall,283.0,310.0,585.0,696.0,733.0
Dorset,78.0,131.0,118.0,252.0,206.0
Durham,116.0,234.0,236.0,304.0,348.0
Dyfed-Powys,89.0,135.0,141.0,221.0,299.0
Essex,152.0,207.0,268.0,247.0,381.0
Gloucestershire,83.0,90.0,120.0,137.0,102.0
Greater Manchester,779.0,799.0,832.0,1442.0,1543.0
Gwent,100.0,130.0,72.0,171.0,218.0
Hampshire,266.0,288.0,158.0,209.0,480.0
Hertfordshire,59.0,114.0,212.0,297.0,421.0
Humberside,281.0,280.0,343.0,572.0,804.0
Kent,276.0,307.0,475.0,588.0,863.0
Lancashire,145.0,151.0,303.0,428.0,443.0
Leicestershire,103.0,90.0,242.0,615.0,765.0
Lincolnshire,304.0,212.0,287.0,267.0,395.0
Merseyside,178.0,169.0,217.0,321.0,338.0
Metropolitan,1954.0,2072.0,4951.0,7396.0,10068.0
Norfolk,128.0,175.0,372.0,426.0,588.0
North Wales,141.0,133.0,134.0,130.0,169.0
North Yorkshire,150.0,162.0,238.0,246.0,214.0
Northamptonshire,101.0,105.0,183.0,560.0,555.0
Northumbria,91.0,35.0,125.0,242.0,343.0
Nottinghamshire,77.0,75.0,276.0,197.0,388.0
South Wales,324.0,229.0,350.0,467.0,764.0
South Yorkshire,102.0,280.0,451.0,510.0,562.0
Staffordshire,285.0,305.0,289.0,269.0,173.0
Suffolk,129.0,154.0,248.0,221.0,363.0
Surrey,146.0,123.0,188.0,287.0,428.0
Sussex,254.0,363.0,564.0,391.0,897.0
Thames Valley,356.0,427.0,519.0,778.0,1037.0
Warwickshire,109.0,101.0,161.0,145.0,184.0
West Mercia,164.0,260.0,283.0,331.0,425.0
West Midlands,1193.0,861.0,750.0,706.0,2427.0
West Yorkshire,270.0,272.0,425.0,784.0,868.0
Wiltshire,186.0,185.0,164.0,309.0,255.0
