Police Force,Tactic,ytd,variable,value
Avon & Somerset,CED,2019-03-31,White,570.0
Bedfordshire,CED,2019-03-31,White,134.0
Cambridgeshire,CED,2019-03-31,White,157.0
Cheshire,CED,2019-03-31,White,327.0
City of London,CED,2019-03-31,White,20.0
Cleveland,CED,2019-03-31,White,238.0
Cumbria,CED,2019-03-31,White,206.0
Derbyshire,CED,2019-03-31,White,131.0
Devon & Cornwall,CED,2019-03-31,White,644.0
Dorset,CED,2019-03-31,White,182.0
Durham,CED,2019-03-31,White,290.0
Dyfed-Powys,CED,2019-03-31,White,194.0
Essex,CED,2019-03-31,White,198.0
Gloucestershire,CED,2019-03-31,White,115.0
Greater Manchester,CED,2019-03-31,White,1118.0
Gwent,CED,2019-03-31,White,147.0
Hampshire,CED,2019-03-31,White,176.0
Hertfordshire,CED,2019-03-31,White,190.0
Humberside,CED,2019-03-31,White,538.0
Kent,CED,2019-03-31,White,495.0
Lancashire,CED,2019-03-31,White,386.0
Leicestershire,CED,2019-03-31,White,439.0
Lincolnshire,CED,2019-03-31,White,232.0
Merseyside,CED,2019-03-31,White,290.0
Metropolitan,CED,2019-03-31,White,3017.0
Norfolk,CED,2019-03-31,White,0.0
North Wales,CED,2019-03-31,White,127.0
North Yorkshire,CED,2019-03-31,White,230.0
Northamptonshire,CED,2019-03-31,White,446.0
Northumbria,CED,2019-03-31,White,235.0
Nottinghamshire,CED,2019-03-31,White,154.0
South Wales,CED,2019-03-31,White,362.0
South Yorkshire,CED,2019-03-31,White,438.0
Staffordshire,CED,2019-03-31,White,0.0
Suffolk,CED,2019-03-31,White,0.0
Surrey,CED,2019-03-31,White,210.0
Sussex,CED,2019-03-31,White,183.0
Thames Valley,CED,2019-03-31,White,534.0
Warwickshire,CED,2019-03-31,White,0.0
West Mercia,CED,2019-03-31,White,0.0
West Midlands,CED,2019-03-31,White,390.0
West Yorkshire,CED,2019-03-31,White,580.0
Wiltshire,CED,2019-03-31,White,239.0
Avon & Somerset,CED,2019-03-31,Black (or Black British),91.0
Bedfordshire,CED,2019-03-31,Black (or Black British),58.0
Cambridgeshire,CED,2019-03-31,Black (or Black British),19.0
Cheshire,CED,2019-03-31,Black (or Black British),9.0
City of London,CED,2019-03-31,Black (or Black British),19.0
Cleveland,CED,2019-03-31,Black (or Black British),4.0
Cumbria,CED,2019-03-31,Black (or Black British),1.0
Derbyshire,CED,2019-03-31,Black (or Black British),10.0
Devon & Cornwall,CED,2019-03-31,Black (or Black British),17.0
Dorset,CED,2019-03-31,Black (or Black British),22.0
Durham,CED,2019-03-31,Black (or Black British),4.0
Dyfed-Powys,CED,2019-03-31,Black (or Black British),2.0
Essex,CED,2019-03-31,Black (or Black British),28.0
Gloucestershire,CED,2019-03-31,Black (or Black British),11.0
Greater Manchester,CED,2019-03-31,Black (or Black British),142.0
Gwent,CED,2019-03-31,Black (or Black British),3.0
Hampshire,CED,2019-03-31,Black (or Black British),12.0
Hertfordshire,CED,2019-03-31,Black (or Black British),58.0
Humberside,CED,2019-03-31,Black (or Black British),11.0
Kent,CED,2019-03-31,Black (or Black British),63.0
Lancashire,CED,2019-03-31,Black (or Black British),12.0
Leicestershire,CED,2019-03-31,Black (or Black British),88.0
Lincolnshire,CED,2019-03-31,Black (or Black British),16.0
