Police Force,Tactic,ytd,variable,value
Avon & Somerset,CED,2019-03-31,0-11,1.0
Bedfordshire,CED,2019-03-31,0-11,0.0
Cambridgeshire,CED,2019-03-31,0-11,0.0
Cheshire,CED,2019-03-31,0-11,0.0
City of London,CED,2019-03-31,0-11,0.0
Cleveland,CED,2019-03-31,0-11,0.0
Cumbria,CED,2019-03-31,0-11,1.0
Derbyshire,CED,2019-03-31,0-11,0.0
Devon & Cornwall,CED,2019-03-31,0-11,0.0
Dorset,CED,2019-03-31,0-11,0.0
Durham,CED,2019-03-31,0-11,0.0
Dyfed-Powys,CED,2019-03-31,0-11,2.0
Essex,CED,2019-03-31,0-11,1.0
Gloucestershire,CED,2019-03-31,0-11,2.0
Greater Manchester,CED,2019-03-31,0-11,8.0
Gwent,CED,2019-03-31,0-11,0.0
Hampshire,CED,2019-03-31,0-11,1.0
Hertfordshire,CED,2019-03-31,0-11,0.0
Humberside,CED,2019-03-31,0-11,1.0
Kent,CED,2019-03-31,0-11,3.0
Lancashire,CED,2019-03-31,0-11,1.0
Leicestershire,CED,2019-03-31,0-11,0.0
Lincolnshire,CED,2019-03-31,0-11,0.0
Merseyside,CED,2019-03-31,0-11,0.0
Metropolitan,CED,2019-03-31,0-11,0.0
Norfolk,CED,2019-03-31,0-11,0.0
North Wales,CED,2019-03-31,0-11,0.0
North Yorkshire,CED,2019-03-31,0-11,0.0
Northamptonshire,CED,2019-03-31,0-11,0.0
Northumbria,CED,2019-03-31,0-11,0.0
Nottinghamshire,CED,2019-03-31,0-11,0.0
South Wales,CED,2019-03-31,0-11,2.0
South Yorkshire,CED,2019-03-31,0-11,4.0
Staffordshire,CED,2019-03-31,0-11,0.0
Suffolk,CED,2019-03-31,0-11,0.0
Surrey,CED,2019-03-31,0-11,0.0
Sussex,CED,2019-03-31,0-11,0.0
Thames Valley,CED,2019-03-31,0-11,0.0
Warwickshire,CED,2019-03-31,0-11,0.0
West Mercia,CED,2019-03-31,0-11,0.0
West Midlands,CED,2019-03-31,0-11,1.0
West Yorkshire,CED,2019-03-31,0-11,0.0
Wiltshire,CED,2019-03-31,0-11,1.0
Avon & Somerset,CED of which,2020-03-31,0-11,0.0
Bedfordshire,CED of which,2020-03-31,0-11,0.0
Cambridgeshire,CED of which,2020-03-31,0-11,0.0
Cheshire,CED of which,2020-03-31,0-11,0.0
City of London,CED of which,2020-03-31,0-11,0.0
Cleveland,CED of which,2020-03-31,0-11,0.0
Cumbria,CED of which,2020-03-31,0-11,0.0
Derbyshire,CED of which,2020-03-31,0-11,0.0
Devon & Cornwall,CED of which,2020-03-31,0-11,0.0
Dorset,CED of which,2020-03-31,0-11,0.0
Durham,CED of which,2020-03-31,0-11,1.0
Dyfed-Powys,CED of which,2020-03-31,0-11,1.0
Essex,CED of which,2020-03-31,0-11,0.0
Gloucestershire,CED of which,2020-03-31,0-11,0.0
Greater Manchester,CED of which,2020-03-31,0-11,11.0
Gwent,CED of which,2020-03-31,0-11,0.0
Hampshire,CED of which,2020-03-31,0-11,0.0
Hertfordshire,CED of which,2020-03-31,0-11,0.0
Humberside,CED of which,2020-03-31,0-11,0.0
Kent,CED of which,2020-03-31,0-11,1.0
Lancashire,CED of which,2020-03-31,0-11,0.0
Leicestershire,CED of which,2020-03-31,0-11,0.0
