Authority,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,Total
Avon & Somerset,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,8
Bedfordshire,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
Cambridgeshire,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Cheshire,1,0,0,2,1,1,0,3,0,2,0,2,0,1,0,13
City of London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
Cumbria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Derbyshire,2,1,2,0,1,0,0,0,0,1,0,1,1,1,0,10
Devon & Cornwall,1,3,0,0,0,0,0,0,3,0,0,1,1,1,0,10
Dorset,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Durham,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Dyfed-Powys,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3
Essex,0,3,1,0,0,0,1,0,2,0,1,0,0,1,0,9
Gloucestershire,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Greater Manchester,3,2,2,3,1,1,1,0,1,0,0,0,0,1,2,17
Gwent,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,5
Hampshire,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,4
Hertfordshire,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Humberside,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
Kent,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,9
Lancashire,0,1,1,2,0,1,2,1,0,0,0,0,1,0,0,9
Leicestershire,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Lincolnshire,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,6
Merseyside,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,7
Metropolitan,5,6,4,5,7,1,3,2,1,0,2,5,3,4,2,50
Norfolk,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4
North Wales,0,1,1,0,0,1,1,0,2,0,0,0,0,0,1,7
North Yorkshire,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3
Northamptonshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Northumbria,1,1,1,1,0,0,1,0,2,0,2,1,2,0,2,14
Nottinghamshire,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,5
South Wales,4,0,3,1,0,1,0,1,0,0,0,0,0,0,0,10
South Yorkshire,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,7
Staffordshire,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,6
Suffolk,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,5
Surrey,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,4
Sussex,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,5
Thames Valley,1,1,0,0,0,2,1,0,0,1,0,0,0,2,0,8
Warwickshire,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,6
West Mercia,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,4
West Midlands,0,1,2,0,0,0,2,0,0,0,1,1,1,1,0,9
West Yorkshire,3,0,2,0,1,0,0,0,0,0,3,0,1,1,1,12
Wiltshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMRC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ministry of Defence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCA / NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Office,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
