Authority,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,Total
Avon & Somerset,0,0,0,0,0,3,2,1,0,3,1,3,1,1,6,21
Bedfordshire,0,0,1,1,1,0,1,0,0,1,0,0,1,3,0,9
Cambridgeshire,0,0,0,2,1,1,0,0,1,0,0,2,2,1,2,12
Cheshire,1,0,0,1,1,0,0,0,0,0,1,0,4,3,2,13
City of London,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Cleveland,0,0,1,0,0,0,1,0,1,0,1,1,0,2,1,8
Cumbria,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4
Derbyshire,0,0,0,0,0,1,6,0,0,0,1,1,0,1,1,11
Devon & Cornwall,0,1,0,0,1,2,0,1,2,3,3,3,2,9,8,35
Dorset,2,2,0,0,0,1,0,0,0,0,0,2,2,5,2,16
Durham,0,0,0,1,0,1,1,5,0,0,1,1,3,3,0,16
Dyfed-Powys,1,0,0,0,0,2,0,0,0,0,1,0,1,1,3,9
Essex,0,1,1,2,1,0,0,3,1,1,3,1,1,8,5,28
Gloucestershire,0,1,0,0,2,1,0,0,0,2,0,0,1,3,1,11
Greater Manchester,0,4,0,1,3,3,1,4,2,5,1,9,9,18,11,71
Gwent,0,0,1,0,0,2,1,3,3,1,1,1,0,1,1,15
Hampshire,0,1,2,2,2,2,0,1,2,0,0,1,2,2,4,21
Hertfordshire,0,0,0,1,0,3,0,1,0,0,1,1,5,4,0,16
Humberside,0,0,1,0,1,1,0,1,0,1,1,1,1,3,1,12
Kent,0,0,0,2,0,0,0,0,0,3,0,3,4,6,8,26
Lancashire,1,1,1,3,0,1,1,0,0,0,2,4,2,3,4,23
Leicestershire,0,1,0,2,1,0,5,0,0,1,0,1,4,2,3,20
Lincolnshire,2,2,0,0,0,1,2,0,1,0,0,1,2,1,0,12
Merseyside,0,1,0,1,1,1,1,2,0,0,1,1,4,6,4,23
Metropolitan,3,5,5,2,4,2,8,6,1,7,4,21,10,13,15,106
Norfolk,1,1,0,0,1,0,0,0,0,0,1,2,1,2,3,12
North Wales,0,2,0,0,0,1,2,1,0,0,0,2,4,2,0,14
North Yorkshire,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,7
Northamptonshire,1,2,0,1,1,0,1,6,0,0,1,2,1,3,2,21
Northumbria,1,0,0,0,0,0,2,1,0,0,3,2,10,3,3,25
Nottinghamshire,2,0,0,0,1,0,2,0,1,0,0,2,3,1,2,14
South Wales,0,3,1,0,0,0,3,0,1,1,3,5,7,6,2,32
South Yorkshire,0,1,2,1,2,0,2,0,1,0,0,2,2,2,7,22
Staffordshire,0,4,1,1,0,0,2,1,0,0,0,2,6,4,3,24
Suffolk,1,0,1,0,0,3,3,0,0,0,1,2,0,0,1,12
Surrey,1,0,0,0,0,0,0,1,0,2,0,1,2,1,2,10
Sussex,0,0,1,2,2,2,1,1,1,3,0,3,4,5,5,30
Thames Valley,0,0,0,1,1,1,0,2,0,1,3,4,7,3,8,31
Warwickshire,1,0,0,0,1,0,0,0,1,0,1,0,0,2,1,7
West Mercia,1,0,1,1,1,0,0,0,0,1,1,0,2,3,1,12
West Midlands,2,1,1,0,3,2,5,3,1,4,3,7,9,18,10,69
West Yorkshire,3,3,1,3,0,2,2,2,2,3,3,4,6,10,8,52
Wiltshire,0,3,0,0,1,0,2,0,0,1,0,4,3,2,2,18
Cleveland & Cheshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Humberside & Lincolnshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Lancashire & Merseyside,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Leicestershire & Derbyshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
South Yorkshire & Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Surrey & Metropolitan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Surrey & Sussex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
West Midlands & Warkwickshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
West Mercia & Staffordshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
West Mercia & West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
British Transport,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
HMRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ministry of Defence,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Office,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3
