Authority,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,Total
Avon & Somerset,0,0,0,0,0,3,2,1,0,3,1,2,1,1,6,1,21
Bedfordshire,0,0,1,1,1,0,1,0,0,1,0,0,1,3,0,1,10
Cambridgeshire,0,0,0,2,1,1,0,0,1,0,0,2,2,1,2,1,13
Cheshire,1,0,0,1,1,0,0,0,0,0,1,0,4,3,2,3,16
City of London,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Cleveland,0,0,1,0,0,0,1,0,1,0,1,1,0,2,1,0,8
Cumbria,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4
Derbyshire,0,0,0,0,0,1,3,0,0,0,1,1,0,1,1,5,13
Devon & Cornwall,0,1,0,0,1,2,0,1,2,3,3,3,2,9,8,4,39
Dorset,2,2,0,0,0,1,0,0,0,0,0,2,2,5,2,1,17
Durham,0,0,0,1,0,1,1,2,0,0,1,1,3,3,0,0,13
Dyfed-Powys,1,0,0,0,0,2,0,0,0,0,1,0,1,1,3,0,9
Essex,0,1,1,2,1,0,0,2,1,1,3,1,1,8,4,3,29
Gloucestershire,0,1,0,0,2,1,0,0,0,2,0,0,1,3,1,1,12
Greater Manchester,0,3,0,1,2,3,1,2,2,5,1,9,9,15,12,10,75
Gwent,0,0,1,0,0,2,1,3,1,1,1,1,0,1,1,1,14
Hampshire,0,1,2,2,2,2,0,1,2,0,0,1,2,2,4,2,23
Hertfordshire,0,0,0,1,0,2,0,1,0,0,1,1,3,4,0,0,13
Humberside,0,0,1,0,1,1,0,1,0,1,1,1,1,2,1,2,13
Kent,0,0,0,2,0,0,0,0,0,3,0,3,4,6,9,0,27
Lancashire,1,1,1,3,0,1,1,0,0,0,2,4,2,3,4,1,24
Leicestershire,0,1,0,1,1,0,2,0,0,1,0,1,4,2,3,2,18
Lincolnshire,2,2,0,0,0,1,2,0,1,0,0,1,2,1,0,2,14
Merseyside,0,1,0,1,1,1,1,2,0,0,1,1,4,6,4,1,24
Metropolitan,3,5,4,2,4,2,8,5,1,6,4,19,10,13,16,18,120
Norfolk,1,1,0,0,1,0,0,0,0,0,1,2,1,2,3,2,14
North Wales,0,2,0,0,0,1,2,1,0,0,0,2,4,2,0,1,15
North Yorkshire,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,9
Northamptonshire,1,2,0,1,1,0,1,3,0,0,1,2,1,3,2,1,19
Northumbria,1,0,0,0,0,0,1,1,0,0,3,2,10,3,2,0,23
Nottinghamshire,1,0,0,0,1,0,2,0,1,0,0,2,3,1,2,1,14
South Wales,0,3,1,0,0,0,3,0,1,1,3,5,7,6,2,5,37
South Yorkshire,0,1,2,1,2,0,2,0,1,0,0,2,2,2,7,3,25
Staffordshire,0,4,1,1,0,0,2,1,0,0,0,2,6,4,3,4,28
Suffolk,1,0,1,0,0,3,2,0,0,0,1,2,0,0,1,1,12
Surrey,1,0,0,0,0,0,0,1,0,1,0,1,2,1,2,3,12
Sussex,0,0,1,2,2,1,1,1,1,3,0,3,4,4,5,3,31
Thames Valley,0,0,0,1,1,1,0,2,0,1,3,4,7,3,6,2,31
Warwickshire,1,0,0,0,1,0,0,0,1,0,1,0,0,2,2,0,8
West Mercia,1,0,1,1,1,0,0,0,0,1,1,0,2,3,1,2,14
West Midlands,2,1,1,0,2,2,5,3,1,3,3,7,8,18,9,4,69
West Yorkshire,3,3,1,3,0,2,2,2,2,3,3,4,6,10,8,6,58
Wiltshire,0,2,0,0,1,0,2,0,0,1,0,4,3,2,2,1,18
British Transport & Greater Manchester & Lancashire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cleveland & Cheshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Greater Manchester & Cheshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Hampshire & Dorset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Humberside & Lincolnshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Lancashire & Merseyside,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Leicestershire & Derbyshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
North Yorkshire & West Yorkshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
South Yorkshire & Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Surrey & Metropolitan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Surrey & Sussex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
West Midlands & South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
West Midlands & Warkwickshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
West Mercia & Staffordshire,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
West Mercia & West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
British Transport,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
HMRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ministry of Defence,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SOCA / NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Office,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3
