Authority,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,Total
Avon & Somerset,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Bedfordshire,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Cambridgeshire,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
City of London,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5
Devon & Cornwall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Durham,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Greater Manchester,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Humberside,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Kent,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3
Metropolitan,1,2,1,3,2,0,0,1,0,0,1,2,1,3,1,2,20
Northumbria,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Staffordshire,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Surrey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Sussex,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
West Yorkshire,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
