Authority,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,Total
Avon & Somerset,1,0,5,2,1,2,0,0,2,1,2,2,0,0,2,1,21
Bedfordshire,0,0,1,0,2,1,0,1,2,0,1,1,0,2,2,1,14
Cambridgeshire,0,0,0,2,0,2,1,1,0,1,0,0,0,2,0,1,10
Cheshire,0,1,0,0,0,0,0,0,3,1,1,1,0,2,1,1,11
City of London,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Cleveland,0,0,1,1,0,0,0,1,0,1,3,2,2,1,2,1,15
Cumbria,4,1,0,1,1,1,1,2,2,2,2,1,0,0,0,0,18
Derbyshire,1,0,0,1,0,1,0,0,1,1,1,0,2,0,0,0,8
Devon & Cornwall,2,1,0,0,1,0,4,2,2,2,4,2,2,1,3,2,28
Dorset,2,0,1,0,3,1,1,0,1,1,0,0,0,0,1,0,11
Durham,1,1,2,0,0,1,4,2,0,0,0,2,1,2,1,0,17
Dyfed-Powys,3,2,2,0,0,1,2,1,1,0,0,1,0,1,0,1,15
Essex,0,1,1,1,0,1,0,0,2,3,1,0,3,1,0,2,16
Gloucestershire,1,1,1,0,1,0,0,0,0,0,1,1,2,1,0,0,9
Greater Manchester,2,1,2,4,1,4,0,1,4,3,3,0,1,0,5,1,32
Gwent,2,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,9
Hampshire,0,0,2,0,3,3,6,0,4,1,1,1,3,4,2,1,31
Hertfordshire,1,1,1,0,0,1,0,0,2,3,0,0,2,3,2,2,18
Humberside,0,0,0,2,2,1,0,0,1,0,2,2,0,0,2,2,14
Kent,0,0,0,0,2,1,1,1,2,4,3,2,0,1,1,2,20
Lancashire,0,3,3,2,3,1,3,1,0,5,3,1,3,0,1,2,31
Leicestershire,1,0,1,1,2,0,0,1,1,0,1,0,1,1,0,1,11
Lincolnshire,0,0,1,1,1,0,2,0,1,0,1,0,3,0,2,1,13
Merseyside,0,0,1,1,0,0,0,1,1,1,2,3,1,1,4,0,16
Metropolitan,0,0,1,3,5,10,7,0,8,8,5,4,4,6,2,3,66
Norfolk,1,1,0,0,1,0,0,0,1,0,1,2,0,0,0,1,8
North Wales,2,0,1,1,1,0,0,1,2,2,0,0,2,1,0,0,13
North Yorkshire,1,1,1,1,0,1,0,0,5,2,2,1,0,2,3,0,20
Northamptonshire,0,0,2,1,3,0,0,1,0,2,0,3,2,0,0,1,15
Northumbria,2,2,1,2,3,4,1,4,1,1,4,1,0,1,0,4,31
Nottinghamshire,1,1,1,1,0,1,0,2,1,1,1,3,0,3,1,0,17
South Wales,3,0,0,2,2,1,4,1,1,4,3,3,0,3,0,1,28
South Yorkshire,2,2,3,1,0,0,0,1,1,2,0,1,1,2,4,2,22
Staffordshire,1,1,0,1,4,1,0,4,2,1,2,2,2,1,1,4,27
Suffolk,2,1,2,1,0,0,0,0,0,1,0,2,2,0,0,2,13
Surrey,0,2,1,1,2,1,1,2,0,1,3,1,1,1,2,1,20
Sussex,1,0,3,2,3,1,0,1,1,4,4,3,2,3,1,3,32
Thames Valley,0,1,1,2,1,4,2,1,1,3,2,1,3,3,3,3,31
Warwickshire,0,3,1,0,0,3,0,0,0,0,0,2,0,0,1,1,11
West Mercia,1,5,1,1,1,0,2,2,3,1,2,2,3,1,3,0,28
West Midlands,0,4,1,4,1,4,1,3,0,3,3,2,4,3,4,2,39
West Yorkshire,5,1,1,1,5,0,1,0,3,1,3,2,3,2,2,3,33
Wiltshire,1,0,1,0,1,0,0,0,0,2,1,2,0,0,0,0,8
British Transport,0,1,0,0,0,0,1,1,1,1,1,0,0,1,5,0,12
HMRC,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
Ministry of Defence,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOCA / NCA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3
Home Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
