Force/Region,September 2017,March 2018,September 2018
North East,5656.3099999999995,5572.995800000001,5505.6500000000015
Cleveland,1273.53,1257.4,1223.92
Durham,1138.07,1141.3858,1141.11
Northumbria,3244.7099999999996,3174.21,3140.6200000000017
North West,15667.779999999999,15883.036250000001,15860.769999999995
Cheshire,1988.36,2020.26,2003.06
Cumbria,1108.06,1094.5900000000001,1174.0
Greater Manchester,6236.88,6348.84,6390.759999999997
Lancashire,2850.13,2969.2462499999997,2884.21
Merseyside,3484.3499999999995,3450.1,3408.74
Yorkshire and the Humber,10283.92,10616.40675,10749.43
Humberside,1665.46,1793.94,1885.63
North Yorkshire,1319.9,1349.5,1357.01
South Yorkshire,2472.11,2458.8700000000003,2393.33
West Yorkshire,4826.45,5014.09675,5113.46
East Midlands,7630.7235,7734.138750000001,7800.860000000001
Derbyshire,1739.92,1737.74,1737.2
Leicestershire,1772.14,1777.2987500000004,1765.38
Lincolnshire,1098.6235,1087.01,1117.43
Northamptonshire,1177.62,1214.88,1213.16
Nottinghamshire,1842.42,1917.2100000000003,1967.69
West Midlands,10970.560000000009,10951.8,10886.67730000001
Staffordshire,1595.24,1590.0300000000002,1604.98
Warwickshire,823.4499999999998,806.41,801.12
West Mercia,2017.3700000000003,1974.3400000000001,1921.7
West Midlands,6534.500000000008,6581.0199999999995,6558.87730000001
Eastern,9881.191050243899,10107.870399999998,10254.2791
Bedfordshire,1136.46,1130.43,1147.56
Cambridgeshire,1332.0,1383.1100000000001,1420.18
Essex,2857.1908,2957.8203999999996,2959.9001
Hertfordshire,1940.09,1951.87,1982.73
Norfolk,1519.4612502439,1557.6699999999998,1598.0240000000001
Suffolk,1095.989,1126.97,1145.885
London,31547.22,31087.65,30869.769449999858
City of London,676.0,697.42,733.6
Metropolitan,30871.22,30390.230000000003,30136.16944999986
South East,14753.075949999999,14705.84415,14625.83075
Hampshire,2861.13,2834.8755499999997,2740.5713
Kent,3254.6872,3261.2586,3333.3082
Surrey,2009.31,1993.8200000000002,1927.63
Sussex,2550.49875,2548.6800000000003,2579.251249999999
Thames Valley,4077.45,4067.21,4045.07
South West,8848.36,8885.628875,8898.97
Avon & Somerset,2629.72,2596.51,2642.29
Devon & Cornwall,2921.47,2958.9799999999996,2975.1
Dorset,1276.17,1263.3,1224.53
Gloucestershire,1055.0,1072.558875,1071.05
Wiltshire,966.0,994.28,986.0
Wales,6689.83625,6858.43,6943.214249999999
Dyfed-Powys,1158.82,1186.0999999999997,1171.19
Gwent,1153.73,1266.5800000000002,1329.05
North Wales,1487.1562499999995,1489.8899999999999,1487.7442499999997
South Wales,2890.13,2915.86,2955.23
Total 43 forces,121928.9767502439,122403.800975,122395.45084999985
Central Service Secondments,406.88,381.78,391.47459
British Transport Police,3028.2,2865.45,3074.4
