Police Force/Region,Drawn,Aimed,Arced,Red-dot,Total non-discharge,Proportion of TASER ® X26 use - non-discharge,Drive stun,Angled drive stun,Fired,Total discharge,Proportion of TASER ® X26 use - discharge,Not stated,Total
North East,56.0,9.0,2.0,133.0,200.0,0.746268656716418,4.0,0.0,64.0,68.0,0.2537313432835821,0.0,268.0
Cleveland,11.0,2.0,0.0,34.0,47.0,0.7704918032786885,2.0,0.0,12.0,14.0,0.22950819672131148,0.0,61.0
Durham,14.0,2.0,2.0,70.0,88.0,0.7586206896551724,2.0,0.0,26.0,28.0,0.2413793103448276,0.0,116.0
Northumbria,31.0,5.0,0.0,29.0,65.0,0.7142857142857143,0.0,0.0,26.0,26.0,0.2857142857142857,0.0,91.0
North West,246.0,53.0,7.0,710.0,1016.0,0.7627627627627628,19.0,17.0,280.0,316.0,0.23723723723723725,0.0,1332.0
Cheshire,25.0,8.0,2.0,91.0,126.0,0.9,0.0,0.0,14.0,14.0,0.1,0.0,140.0
Cumbria,14.0,1.0,1.0,62.0,78.0,0.8666666666666667,0.0,0.0,12.0,12.0,0.13333333333333333,0.0,90.0
Greater Manchester,140.0,24.0,2.0,381.0,547.0,0.7021822849807445,16.0,17.0,199.0,232.0,0.29781771501925547,0.0,779.0
Lancashire,16.0,10.0,2.0,82.0,110.0,0.7586206896551724,2.0,0.0,33.0,35.0,0.2413793103448276,0.0,145.0
Merseyside,51.0,10.0,0.0,94.0,155.0,0.8707865168539326,1.0,0.0,22.0,23.0,0.12921348314606743,0.0,178.0
Yorkshire and the Humber,99.0,44.0,6.0,446.0,595.0,0.7409713574097135,11.0,19.0,178.0,208.0,0.2590286425902864,0.0,803.0
Humberside,33.0,20.0,4.0,160.0,217.0,0.7722419928825622,5.0,11.0,48.0,64.0,0.2277580071174377,0.0,281.0
North Yorkshire,26.0,4.0,0.0,89.0,119.0,0.7933333333333333,4.0,1.0,26.0,31.0,0.20666666666666667,0.0,150.0
South Yorkshire,7.0,3.0,0.0,57.0,67.0,0.6568627450980392,0.0,2.0,33.0,35.0,0.3431372549019608,0.0,102.0
West Yorkshire,33.0,17.0,2.0,140.0,192.0,0.7111111111111111,2.0,5.0,71.0,78.0,0.28888888888888886,0.0,270.0
East Midlands,170.0,25.0,23.0,357.0,575.0,0.8556547619047619,8.0,3.0,86.0,97.0,0.14434523809523808,0.0,672.0
Derbyshire,25.0,5.0,2.0,41.0,73.0,0.8390804597701149,0.0,0.0,14.0,14.0,0.16091954022988506,0.0,87.0
Leicestershire,11.0,6.0,17.0,53.0,87.0,0.8446601941747572,1.0,2.0,13.0,16.0,0.1553398058252427,0.0,103.0
Lincolnshire,96.0,9.0,4.0,148.0,257.0,0.8453947368421053,6.0,1.0,40.0,47.0,0.15460526315789475,0.0,304.0
Northamptonshire,25.0,3.0,0.0,62.0,90.0,0.8910891089108911,1.0,0.0,10.0,11.0,0.10891089108910891,0.0,101.0
Nottinghamshire,13.0,2.0,0.0,53.0,68.0,0.8831168831168831,0.0,0.0,9.0,9.0,0.11688311688311688,0.0,77.0
West Midlands,298.0,109.0,23.0,742.0,1172.0,0.7961956521739131,7.0,18.0,275.0,300.0,0.20380434782608695,0.0,1472.0
Staffordshire,83.0,30.0,0.0,138.0,251.0,0.8807017543859649,0.0,2.0,32.0,34.0,0.11929824561403508,0.0,285.0
Warwickshire,23.0,1.0,5.0,58.0,87.0,0.7981651376146789,1.0,2.0,19.0,22.0,0.2018348623853211,0.0,109.0
West Mercia,34.0,11.0,1.0,97.0,143.0,0.8719512195121951,0.0,2.0,19.0,21.0,0.12804878048780488,0.0,164.0
West Midlands,158.0,67.0,17.0,449.0,691.0,0.7560175054704595,6.0,12.0,205.0,223.0,0.2439824945295405,0.0,914.0
East of England,161.0,39.0,3.0,300.0,503.0,0.8218954248366013,4.0,4.0,101.0,109.0,0.1781045751633987,0.0,612.0
Bedfordshire,24.0,6.0,0.0,25.0,55.0,0.7638888888888888,2.0,0.0,15.0,17.0,0.2361111111111111,0.0,72.0
Cambridgeshire,13.0,3.0,0.0,39.0,55.0,0.7638888888888888,0.0,0.0,17.0,17.0,0.2361111111111111,0.0,72.0
Essex,22.0,14.0,0.0,88.0,124.0,0.8157894736842105,1.0,1.0,26.0,28.0,0.18421052631578946,0.0,152.0
Hertfordshire,16.0,2.0,0.0,33.0,51.0,0.864406779661017,0.0,1.0,7.0,8.0,0.13559322033898305,0.0,59.0
Norfolk,35.0,8.0,3.0,58.0,104.0,0.8125,0.0,1.0,23.0,24.0,0.1875,0.0,128.0
Suffolk,51.0,6.0,0.0,57.0,114.0,0.8837209302325582,1.0,1.0,13.0,15.0,0.11627906976744186,0.0,129.0
