Police Force/Region,Drawn,Aimed,Arced,Red-dot,Total non-discharge,Proportion of TASER ® X26 use - non-discharge,Drive stun,Angled drive stun,Fired,Total discharge,Proportion of TASER ® X26 use - discharge,Not stated,Total
North East,52.0,13.0,1.0,206.0,272.0,0.8,2.0,0.0,64.0,66.0,0.2,0.0,338.0
Cleveland,11.0,5.0,1.0,42.0,59.0,0.79,0.0,0.0,16.0,16.0,0.21,0.0,75.0
Durham,32.0,8.0,0.0,152.0,192.0,0.84,2.0,0.0,34.0,36.0,0.16,0.0,228.0
Northumbria,9.0,0.0,0.0,12.0,21.0,0.6,0.0,0.0,14.0,14.0,0.4,0.0,35.0
North West,308.0,72.0,6.0,757.0,1143.0,0.78,30.0,8.0,281.0,319.0,0.22,2.0,1464.0
Cheshire,82.0,12.0,2.0,117.0,213.0,0.93,1.0,0.0,16.0,17.0,0.07,2.0,232.0
Cumbria,28.0,2.0,1.0,65.0,96.0,0.84,2.0,0.0,16.0,18.0,0.16,0.0,114.0
Greater Manchester,142.0,36.0,3.0,395.0,576.0,0.72,25.0,8.0,190.0,223.0,0.28,0.0,799.0
Lancashire,26.0,7.0,0.0,82.0,115.0,0.76,0.0,0.0,36.0,36.0,0.24,0.0,151.0
Merseyside,30.0,15.0,0.0,98.0,143.0,0.85,2.0,0.0,23.0,25.0,0.15,0.0,168.0
Yorkshire and the Humber,134.0,51.0,5.0,558.0,748.0,0.75,8.0,17.0,221.0,246.0,0.25,0.0,994.0
Humberside,34.0,9.0,3.0,160.0,206.0,0.74,0.0,8.0,66.0,74.0,0.26,0.0,280.0
North Yorkshire,32.0,10.0,0.0,81.0,123.0,0.76,0.0,2.0,37.0,39.0,0.24,0.0,162.0
South Yorkshire,36.0,16.0,0.0,173.0,225.0,0.8,1.0,4.0,50.0,55.0,0.2,0.0,280.0
West Yorkshire,32.0,16.0,2.0,144.0,194.0,0.71,7.0,3.0,68.0,78.0,0.29,0.0,272.0
East Midlands,163.0,19.0,9.0,295.0,486.0,0.87,3.0,2.0,66.0,71.0,0.13,0.0,557.0
Derbyshire,30.0,3.0,0.0,28.0,61.0,0.81,0.0,0.0,14.0,14.0,0.19,0.0,75.0
Leicestershire,13.0,6.0,8.0,51.0,78.0,0.87,1.0,1.0,10.0,12.0,0.13,0.0,90.0
Lincolnshire,86.0,4.0,1.0,94.0,185.0,0.87,2.0,1.0,24.0,27.0,0.13,0.0,212.0
Northamptonshire,16.0,4.0,0.0,77.0,97.0,0.92,0.0,0.0,8.0,8.0,0.08,0.0,105.0
Nottinghamshire,18.0,2.0,0.0,45.0,65.0,0.87,0.0,0.0,10.0,10.0,0.13,0.0,75.0
West Midlands,392.0,115.0,18.0,749.0,1274.0,0.84,6.0,1.0,237.0,244.0,0.16,0.0,1518.0
Staffordshire,108.0,30.0,3.0,137.0,278.0,0.91,0.0,0.0,27.0,27.0,0.09,0.0,305.0
Warwickshire,26.0,8.0,1.0,42.0,77.0,0.76,1.0,0.0,23.0,24.0,0.24,0.0,101.0
West Mercia,74.0,13.0,0.0,148.0,235.0,0.9,0.0,0.0,25.0,25.0,0.1,0.0,260.0
West Midlands,184.0,64.0,14.0,422.0,684.0,0.8,5.0,1.0,162.0,168.0,0.2,0.0,852.0
East of England,214.0,55.0,7.0,442.0,718.0,0.84,0.0,4.0,128.0,132.0,0.16,0.0,850.0
Bedfordshire,18.0,4.0,0.0,64.0,86.0,0.8,0.0,1.0,20.0,21.0,0.2,0.0,107.0
Cambridgeshire,23.0,7.0,1.0,52.0,83.0,0.89,0.0,1.0,9.0,10.0,0.11,0.0,93.0
Essex,43.0,10.0,1.0,105.0,159.0,0.77,0.0,1.0,47.0,48.0,0.23,0.0,207.0
Hertfordshire,36.0,11.0,0.0,53.0,100.0,0.88,0.0,0.0,14.0,14.0,0.12,0.0,114.0
Norfolk,54.0,8.0,3.0,87.0,152.0,0.87,0.0,1.0,22.0,23.0,0.13,0.0,175.0
Suffolk,40.0,15.0,2.0,81.0,138.0,0.9,0.0,0.0,16.0,16.0,0.1,0.0,154.0
London,683.0,183.0,6.0,973.0,1845.0,0.88,6.0,10.0,246.0,262.0,0.12,0.0,2107.0
City of London,10.0,3.0,2.0,19.0,34.0,0.97,0.0,0.0,1.0,1.0,0.03,0.0,35.0
Metropolitan,673.0,180.0,4.0,954.0,1811.0,0.87,6.0,10.0,245.0,261.0,0.13,0.0,2072.0
South East,489.0,109.0,8.0,718.0,1324.0,0.88,15.0,6.0,163.0,184.0,0.12,0.0,1508.0
Hampshire,76.0,20.0,3.0,136.0,235.0,0.82,2.0,1.0,50.0,53.0,0.18,0.0,288.0
Kent,111.0,23.0,1.0,135.0,270.0,0.88,1.0,3.0,33.0,37.0,0.12,0.0,307.0
Surrey,33.0,7.0,0.0,67.0,107.0,0.87,3.0,0.0,13.0,16.0,0.13,0.0,123.0
Sussex,144.0,33.0,0.0,157.0,334.0,0.92,5.0,0.0,24.0,29.0,0.08,0.0,363.0
Thames Valley,125.0,26.0,4.0,223.0,378.0,0.89,4.0,2.0,43.0,49.0,0.11,0.0,427.0
South West,257.0,70.0,20.0,721.0,1068.0,0.8,19.0,7.0,234.0,260.0,0.2,3.0,1331.0
Avon & Somerset,142.0,36.0,17.0,318.0,513.0,0.84,10.0,1.0,87.0,98.0,0.16,3.0,614.0
Devon & Cornwall,54.0,8.0,0.0,185.0,247.0,0.8,3.0,1.0,59.0,63.0,0.2,0.0,310.0
Dorset,20.0,15.0,0.0,76.0,111.0,0.85,0.0,0.0,20.0,20.0,0.15,0.0,131.0
Gloucestershire,11.0,2.0,0.0,44.0,57.0,0.63,2.0,3.0,28.0,33.0,0.37,0.0,90.0
Wiltshire,30.0,9.0,3.0,98.0,140.0,0.75,4.0,2.0,40.0,46.0,0.25,0.0,186.0
Wales,137.0,32.0,7.0,325.0,501.0,0.8,9.0,2.0,115.0,126.0,0.2,0.0,627.0
Dyfed-Powys,28.0,4.0,0.0,75.0,107.0,0.79,0.0,1.0,27.0,28.0,0.21,0.0,135.0
Gwent,35.0,8.0,0.0,63.0,106.0,0.82,1.0,1.0,22.0,24.0,0.18,0.0,130.0
North Wales,30.0,13.0,3.0,58.0,104.0,0.78,2.0,0.0,27.0,29.0,0.22,0.0,133.0
South Wales,44.0,7.0,4.0,129.0,184.0,0.8,6.0,0.0,39.0,45.0,0.2,0.0,229.0
England and Wales,2829.0,719.0,87.0,5744.0,9379.0,0.83,98.0,57.0,1755.0,1910.0,0.17,5.0,11294.0
