Force,Discharges,Drive-stuns,Arced,Red Dot,Aimed,Drawn,Not Stated,Total Used,,
Avon & Somerset,56,32,29,145,18,54,,334,,
Bedfordshire,53,4,1,53,5,18,,134,,
Cambridgeshire,27,4,1,144,5,23,,204,,
Cheshire,18,1,6,31,1,8,,65,,
City of London,1,,1,9,,,,11,,
Cleveland,43,1,2,84,,10,,140,,
Cumbria,26,5,10,64,1,7,1,114,,
Derbyshire,11,1,1,76,5,19,,113,,
Devon & Cornwall,63,12,4,110,6,21,,216,,
Dorset,45,14,5,46,1,10,,121,,
Durham,38,2,,119,12,20,,191,,
Dyfed-Powys,10,1,,33,3,3,,50,,
Essex,37,8,3,57,2,4,,111,,
Gloucestershire,34,1,,49,2,,,86,,
Greater Manchester,81,9,3,125,10,49,,277,,
Gwent,34,,5,142,19,23,,223,,
Hampshire,32,3,3,59,8,18,,123,,
Hertfordshire,36,4,2,96,5,50,,193,,
Humberside,48,5,13,257,15,22,,360,,
Kent,16,,2,54,4,27,,103,,
Lancashire,90,6,4,121,5,21,,247,,
Leicestershire,18,4,39,88,11,21,,181,,
Lincolnshire,11,2,4,28,3,9,,57,,
Merseyside,47,7,1,80,16,6,,157,,
Metropolitan,401,70,29,442,47,181,3,1173,,
Norfolk,51,19,10,32,7,7,,126,,
North,55,11,7,139,13,31,,256,,
North,18,4,6,57,5,9,,99,,
Northamptonshire,23,2,3,59,2,14,,103,,
Northumbria,184,19,5,604,53,188,1,1054,,
Nottinghamshire,27,,4,52,,1,,84,,
South Wales,30,8,6,67,5,2,,118,,
South Yorkshire,16,1,1,50,5,18,,91,,
Staffordshire,27,7,11,92,13,14,1,165,,
Suffolk,15,1,2,49,6,14,,87,,
Surrey,23,8,8,48,3,6,,96,,
Sussex,27,6,3,72,5,9,,122,,
Thames Valley,16,2,,37,2,3,,60,,
Warwickshire,1,,,8,1,1,,11,,
West Mercia,62,23,8,152,9,20,,274,,
West Midlands,84,7,2,114,4,15,,226,,
West Yorkshire,213,24,27,247,12,24,1,548,,
Wiltshire,37,6,4,43,5,,,95,,
