Force,April-June 2009 Firings,July-September 2009 Firings,October-December 2009 Firings,January-March 2010 Firings,April-June 2009 Drive-stuns,July-September 2009 Drive-stuns,October-December 2009 Drive-stuns,January-March 2010 Drive-stuns,April-June 2009 Non-discharges,July-September 2009 Non-discharges,October-December 2009 Non-discharges,January-March 2010 Non-discharges,April-June 2009 Totals,July-September 2009 Totals,October-December 2009 Totals,January-March 2010 Totals,,
Avon & Somerset,4,6,11,3,4,2,9,8,21,45,26,21,29,53,46,32,,
Bedfordshire,9,3,7,4,,,1,,6,8,13,12,15,11,21,16,,
Cambridgeshire,2,,2,4,,,1,,17,14,20,9,19,14,23,13,,
Cheshire,2,,,1,,1,,,1,2,8,3,3,3,8,4,,
City of London,,,,,,,,,1,2,2,1,1,2,2,1,,
Cleveland,2,4,,1,,,,,1,4,7,13,3,8,7,14,,
Cumbria,2,4,4,5,1,,2,,2,9,6,8,5,13,12,13,,
Derbyshire,4,,,1,,,,1,10,6,16,9,14,6,16,11,,
Devon & Cornwall,1,1,5,8,,2,2,2,5,8,16,34,6,11,23,44,,
Dorset,4,3,5,1,3,,3,1,6,,6,7,13,3,14,9,,
Durham,2,,2,5,,,1,,11,10,28,19,13,10,31,24,,
Dyfed-Powys,,3,1,1,,,1,,3,,8,8,3,3,10,9,,
Essex,,4,2,1,,,1,,6,5,6,14,6,9,9,15,,
Gloucestershire,2,2,1,3,,,,,5,1,2,2,7,3,3,5,,
Greater,7,7,17,24,,,,1,6,15,61,82,13,22,78,107,,
Gwent,2,10,5,4,,,,,14,40,25,33,16,50,30,37,,
Hampshire,2,8,5,3,,2,1,,12,10,19,33,14,20,25,36,,
Hertfordshire,3,4,5,3,,1,,1,21,18,12,21,24,23,17,25,,
Humberside,2,1,4,5,,,,3,23,28,34,75,25,29,38,83,,
Kent,1,3,1,7,,,,,2,6,8,42,3,9,9,49,,
Lancashire,5,7,9,5,,,,,9,2,22,35,14,9,31,40,,
Leicestershire,2,2,,1,,,1,,11,15,28,31,13,17,29,32,,
Lincolnshire,,,,2,,,,,0,0,5,19,,,5,21,,
Merseyside,1,3,10,14,2,1,3,1,1,12,17,16,2,16,30,31,,
Metropolitan,12,31,25,31,1,3,6,3,53,51,38,60,67,85,69,94,,
Norfolk,3,5,7,4,,3,6,5,2,9,8,9,6,17,21,18,,
North,2,3,1,5,,1,1,2,6,12,24,34,8,16,26,41,,
North,,1,,,,,,,2,2,1,6,2,3,1,6,,
Northamptonshire,7,1,2,1,,,,,4,10,10,20,11,11,12,21,,
Northumbria,20,13,13,19,1,1,3,2,73,72,80,51,94,86,96,72,,
Nottinghamshire,4,4,3,2,,,,,4,9,7,13,8,13,10,15,,
South,,4,,4,,2,2,1,7,11,6,7,7,17,8,12,,
South,1,,2,2,,,1,,6,,15,39,7,,18,41,,
Staffordshire,4,1,,,,,,,5,1,11,6,9,2,11,6,,
Suffolk,,1,1,,,,,,7,15,5,18,7,16,6,18,,
Surrey,5,1,4,8,2,1,,2,3,3,12,15,10,5,16,25,,
Sussex,1,3,1,3,1,,,4,3,10,12,2,5,13,13,9,,
Thames,,1,,2,1,,,,14,7,3,2,15,8,3,4,,
Warwickshire,,,,,,,,,4,,4,,4,,4,,,
West,10,5,9,5,4,7,4,2,23,25,37,29,37,37,50,36,,
West,,2,13,19,1,,,2,0,5,42,48,1,7,55,69,,
West,8,10,19,29,5,1,1,4,18,14,30,60,31,25,50,93,,
Wiltshire,1,3,1,5,1,,,3,2,4,1,20,4,7,2,28,,
