Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Total England and Wales,Total (excluding not reported and tactical communication),*Total Tactics,853.0,59220.0,349432.0,148318.0,35924.0,3109.0,33937.0,630793.0
Total England and Wales,Restraint,*Total Restraint,377.0,38027.0,222928.0,96141.0,23006.0,1794.0,18752.0,401025.0
Total England and Wales,Restraint,"Handcuffing, of which",225.0,28770.0,165572.0,74454.0,18410.0,1433.0,13585.0,302449.0
Total England and Wales,Restraint,Compliant handcuffing,116.0,16235.0,98227.0,45360.0,10850.0,732.0,6071.0,177591.0
Total England and Wales,Restraint,Non-compliant handcuffing,107.0,11600.0,61669.0,26528.0,6826.0,623.0,7240.0,114593.0
Total England and Wales,Restraint,Not stated handcuffing,2.0,935.0,5676.0,2566.0,734.0,78.0,274.0,10265.0
Total England and Wales,Restraint,Limb / Body restraints,42.0,2811.0,17323.0,6767.0,1588.0,172.0,1291.0,29994.0
Total England and Wales,Restraint,Ground restraint,110.0,6446.0,40033.0,14920.0,3008.0,189.0,3876.0,68582.0
Total England and Wales,Unarmed skills,*Total Unarmed skills,311.0,14857.0,78666.0,33015.0,8199.0,889.0,8772.0,144709.0
Total England and Wales,Other equipment,*Total Other equipment,31.0,1873.0,17507.0,6768.0,1398.0,92.0,2356.0,30025.0
Total England and Wales,Other equipment,"Baton, of which",6.0,537.0,4130.0,1307.0,263.0,11.0,441.0,6695.0
Total England and Wales,Other equipment,Baton drawn,4.0,414.0,2449.0,777.0,175.0,7.0,275.0,4101.0
Total England and Wales,Other equipment,Baton used,2.0,114.0,1532.0,470.0,77.0,2.0,150.0,2347.0
Total England and Wales,Other equipment,Not stated baton,0.0,9.0,149.0,60.0,11.0,2.0,16.0,247.0
Total England and Wales,Other equipment,"Irritant spray, of which",21.0,996.0,10029.0,4015.0,855.0,49.0,1545.0,17510.0
Total England and Wales,Other equipment,Irritant spray - drawn,11.0,528.0,4270.0,1693.0,380.0,19.0,651.0,7552.0
Total England and Wales,Other equipment,Irritant spray - used,10.0,458.0,5483.0,2220.0,452.0,25.0,853.0,9501.0
Total England and Wales,Other equipment,Not stated irritant spray,0.0,10.0,276.0,102.0,23.0,5.0,41.0,457.0
Total England and Wales,Other equipment,Spit and bite guard,4.0,308.0,2873.0,1169.0,213.0,20.0,300.0,4887.0
Total England and Wales,Other equipment,Shield,0.0,32.0,475.0,277.0,67.0,12.0,70.0,933.0
Total England and Wales,Less lethal weapons,*Total Less lethal weapons,34.0,1716.0,13232.0,5481.0,1450.0,119.0,772.0,22804.0
Total England and Wales,Less lethal weapons,CED,29.0,1671.0,12800.0,5315.0,1391.0,118.0,735.0,22059.0
Total England and Wales,Less lethal weapons,"AEP, of which",5.0,45.0,432.0,166.0,59.0,1.0,37.0,745.0
Total England and Wales,Less lethal weapons,AEP aimed,5.0,40.0,377.0,144.0,47.0,1.0,28.0,642.0
Total England and Wales,Less lethal weapons,AEP fired,0.0,2.0,27.0,10.0,3.0,0.0,1.0,43.0
Total England and Wales,Less lethal weapons,Not stated AEP,0.0,3.0,28.0,12.0,9.0,0.0,8.0,60.0
Total England and Wales,Firearms,*Total Firearms,5.0,233.0,2760.0,864.0,308.0,31.0,324.0,4525.0
Total England and Wales,Other,*Total Other,95.0,2514.0,14339.0,6049.0,1563.0,184.0,2961.0,27705.0
Total England and Wales,Other,"Dog use, of which",0.0,262.0,1277.0,373.0,38.0,2.0,352.0,2304.0
Total England and Wales,Other,Dog deployed,0.0,184.0,828.0,264.0,30.0,2.0,302.0,1610.0
Total England and Wales,Other,Dog bite,0.0,69.0,407.0,98.0,7.0,0.0,40.0,621.0
Total England and Wales,Other,Not stated dog,0.0,9.0,42.0,11.0,1.0,0.0,10.0,73.0
Total England and Wales,Other,Other / improvised,95.0,2252.0,13062.0,5676.0,1525.0,182.0,2609.0,25401.0
Total England and Wales,Not reported,*Total Not reported,3.0,114.0,736.0,253.0,63.0,5.0,555.0,1729.0
Total England and Wales,Tactical communication,Tactical communication,408.0,19489.0,110453.0,49041.0,12130.0,1153.0,10467.0,203141.0
Avon & Somerset,Total (excluding not reported and tactical communication),*Total Tactics,69.0,1282.0,8718.0,3938.0,1084.0,62.0,221.0,15374.0
Avon & Somerset,Restraint,*Total Restraint,44.0,792.0,5372.0,2416.0,668.0,38.0,97.0,9427.0
Avon & Somerset,Restraint,"Handcuffing, of which",33.0,572.0,3847.0,1786.0,475.0,31.0,72.0,6816.0
Avon & Somerset,Restraint,Compliant handcuffing,24.0,311.0,2112.0,1002.0,262.0,19.0,41.0,3771.0
Avon & Somerset,Restraint,Non-compliant handcuffing,9.0,261.0,1735.0,784.0,213.0,12.0,31.0,3045.0
Avon & Somerset,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Restraint,Limb / Body restraints,2.0,38.0,270.0,96.0,35.0,2.0,4.0,447.0
Avon & Somerset,Restraint,Ground restraint,9.0,182.0,1255.0,534.0,158.0,5.0,21.0,2164.0
