Region,Police force,Total,Total non-discharge,Drawn,Aimed,Red-dot,Arced,Total discharge,Drive stun,Fired,Angled drive stun,Not stated
England and Wales,*Total England and Wales,32058.0,27457.0,7141.0,3110.0,16809.0,397.0,3334.0,41.0,3275.0,18.0,1267.0
North East,*Total North East,1021.0,884.0,210.0,99.0,562.0,13.0,119.0,0.0,119.0,0.0,18.0
North East,Cleveland,330.0,302.0,61.0,34.0,198.0,9.0,21.0,0.0,21.0,0.0,7.0
North East,Durham,348.0,290.0,57.0,32.0,199.0,2.0,47.0,0.0,47.0,0.0,11.0
North East,Northumbria,343.0,292.0,92.0,33.0,165.0,2.0,51.0,0.0,51.0,0.0,0.0
North West,*Total North West,3126.0,2565.0,730.0,321.0,1491.0,23.0,348.0,7.0,339.0,2.0,213.0
North West,Cheshire,487.0,441.0,132.0,66.0,241.0,2.0,46.0,1.0,45.0,0.0,0.0
North West,Cumbria,315.0,284.0,97.0,17.0,168.0,2.0,29.0,1.0,27.0,1.0,2.0
North West,Greater Manchester,1543.0,1158.0,250.0,158.0,740.0,10.0,174.0,4.0,169.0,1.0,211.0
North West,Lancashire,443.0,373.0,116.0,34.0,215.0,8.0,70.0,1.0,69.0,0.0,0.0
North West,Merseyside,338.0,309.0,135.0,46.0,127.0,1.0,29.0,0.0,29.0,0.0,0.0
Yorkshire and the Humber,*Total Yorkshire and the Humber,2448.0,1977.0,467.0,168.0,1306.0,36.0,279.0,1.0,275.0,3.0,192.0
Yorkshire and the Humber,Humberside,804.0,532.0,101.0,42.0,367.0,22.0,80.0,1.0,79.0,0.0,192.0
Yorkshire and the Humber,North Yorkshire,214.0,181.0,52.0,26.0,101.0,2.0,33.0,0.0,33.0,0.0,0.0
Yorkshire and the Humber,South Yorkshire,562.0,476.0,103.0,47.0,321.0,5.0,86.0,0.0,85.0,1.0,0.0
Yorkshire and the Humber,West Yorkshire,868.0,788.0,211.0,53.0,517.0,7.0,80.0,0.0,78.0,2.0,0.0
East Midlands,*Total East Midlands,2314.0,2141.0,672.0,190.0,1220.0,59.0,166.0,2.0,164.0,0.0,7.0
East Midlands,Derbyshire,211.0,189.0,41.0,13.0,126.0,9.0,21.0,1.0,20.0,0.0,1.0
East Midlands,Leicestershire,765.0,729.0,228.0,57.0,409.0,35.0,36.0,0.0,36.0,0.0,0.0
East Midlands,Lincolnshire,395.0,351.0,87.0,41.0,217.0,6.0,42.0,0.0,42.0,0.0,2.0
East Midlands,Northamptonshire,555.0,526.0,220.0,55.0,244.0,7.0,25.0,0.0,25.0,0.0,4.0
East Midlands,Nottinghamshire,388.0,346.0,96.0,24.0,224.0,2.0,42.0,1.0,41.0,0.0,0.0
West Midlands,*Total West Midlands,3209.0,2846.0,634.0,447.0,1715.0,50.0,362.0,2.0,359.0,1.0,1.0
West Midlands,Staffordshire,173.0,153.0,47.0,19.0,86.0,1.0,19.0,0.0,19.0,0.0,1.0
West Midlands,Warwickshire,184.0,168.0,57.0,15.0,92.0,4.0,16.0,0.0,16.0,0.0,0.0
West Midlands,West Mercia,425.0,407.0,173.0,25.0,208.0,1.0,18.0,0.0,18.0,0.0,0.0
West Midlands,West Midlands,2427.0,2118.0,357.0,388.0,1329.0,44.0,309.0,2.0,306.0,1.0,0.0
East of England,*Total East of England,2209.0,1881.0,493.0,173.0,1204.0,11.0,202.0,0.0,198.0,4.0,126.0
East of England,Bedfordshire,247.0,217.0,36.0,36.0,145.0,0.0,24.0,0.0,24.0,0.0,6.0
East of England,Cambridgeshire,208.0,187.0,36.0,15.0,136.0,0.0,21.0,0.0,21.0,0.0,0.0
East of England,Essex,381.0,233.0,56.0,11.0,165.0,1.0,29.0,0.0,29.0,0.0,119.0
East of England,Hertfordshire,421.0,378.0,93.0,44.0,239.0,2.0,42.0,0.0,41.0,1.0,1.0
East of England,Norfolk,590.0,536.0,166.0,33.0,332.0,5.0,54.0,0.0,54.0,0.0,0.0
East of England,Suffolk,362.0,330.0,106.0,34.0,187.0,3.0,32.0,0.0,29.0,3.0,0.0
London,*Total London,10202.0,9261.0,2416.0,1108.0,5690.0,47.0,941.0,12.0,926.0,3.0,0.0
London,City of London,134.0,128.0,35.0,16.0,77.0,0.0,6.0,0.0,6.0,0.0,0.0
London,Metropolitan,10068.0,9133.0,2381.0,1092.0,5613.0,47.0,935.0,12.0,920.0,3.0,0.0
South East,*Total South East,3705.0,2850.0,815.0,308.0,1690.0,37.0,414.0,7.0,406.0,1.0,441.0
South East,Hampshire,480.0,368.0,62.0,51.0,246.0,9.0,51.0,1.0,50.0,0.0,61.0
South East,Kent,863.0,417.0,137.0,42.0,233.0,5.0,116.0,1.0,115.0,0.0,330.0
South East,Surrey,428.0,388.0,113.0,40.0,231.0,4.0,40.0,0.0,40.0,0.0,0.0
South East,Sussex,897.0,817.0,324.0,83.0,404.0,6.0,80.0,2.0,78.0,0.0,0.0
South East,Thames Valley,1037.0,860.0,179.0,92.0,576.0,13.0,127.0,3.0,123.0,1.0,50.0
South West,*Total South West,2374.0,1964.0,423.0,147.0,1304.0,90.0,356.0,8.0,347.0,1.0,54.0
South West,Avon & Somerset,1078.0,871.0,167.0,60.0,579.0,65.0,188.0,6.0,181.0,1.0,19.0
South West,Devon & Cornwall,733.0,625.0,134.0,40.0,441.0,10.0,90.0,0.0,90.0,0.0,18.0
South West,Dorset,206.0,186.0,56.0,19.0,110.0,1.0,20.0,0.0,20.0,0.0,0.0
South West,Gloucestershire,102.0,63.0,9.0,5.0,45.0,4.0,22.0,0.0,22.0,0.0,17.0
South West,Wiltshire,255.0,219.0,57.0,23.0,129.0,10.0,36.0,2.0,34.0,0.0,0.0
Wales,*Total Wales,1450.0,1088.0,281.0,149.0,627.0,31.0,147.0,2.0,142.0,3.0,215.0
Wales,Dyfed-Powys,299.0,273.0,80.0,20.0,166.0,7.0,26.0,0.0,26.0,0.0,0.0
Wales,Gwent,218.0,156.0,74.0,59.0,16.0,7.0,24.0,0.0,23.0,1.0,38.0
Wales,North Wales,169.0,151.0,32.0,22.0,97.0,0.0,18.0,0.0,17.0,1.0,0.0
Wales,South Wales,764.0,508.0,95.0,48.0,348.0,17.0,79.0,2.0,76.0,1.0,177.0
