Police Force,Type of force,Tactic,Mental,Physical,Physical and mental,None,Not reported,Number of times tactic reported
Total England and Wales,Total (excluding not reported and tactical communication),*Total Tactics,88428.0,4247.0,2767.0,533976.0,1375.0,630793.0
Total England and Wales,Restraint,*Total Restraint,51395.0,2680.0,1550.0,344652.0,748.0,401025.0
Total England and Wales,Restraint,"Handcuffing, of which",34430.0,2101.0,1096.0,264137.0,685.0,302449.0
Total England and Wales,Restraint,Compliant handcuffing,13339.0,1209.0,459.0,162297.0,287.0,177591.0
Total England and Wales,Restraint,Non-compliant handcuffing,19718.0,865.0,617.0,93355.0,38.0,114593.0
Total England and Wales,Restraint,Not stated handcuffing,1373.0,27.0,20.0,8485.0,360.0,10265.0
Total England and Wales,Restraint,Limb / Body restraints,6287.0,177.0,167.0,23316.0,47.0,29994.0
Total England and Wales,Restraint,Ground restraint,10678.0,402.0,287.0,57199.0,16.0,68582.0
Total England and Wales,Unarmed skills,*Total Unarmed skills,24260.0,988.0,789.0,118456.0,216.0,144709.0
Total England and Wales,Other equipment,*Total Other equipment,4152.0,162.0,125.0,25392.0,194.0,30025.0
Total England and Wales,Other equipment,"Baton, of which",606.0,22.0,18.0,5931.0,118.0,6695.0
Total England and Wales,Other equipment,Baton drawn,350.0,18.0,12.0,3643.0,78.0,4101.0
Total England and Wales,Other equipment,Baton used,217.0,4.0,6.0,2087.0,33.0,2347.0
Total England and Wales,Other equipment,Not stated baton,39.0,0.0,0.0,201.0,7.0,247.0
Total England and Wales,Other equipment,"Irritant spray, of which",2275.0,101.0,58.0,15006.0,70.0,17510.0
Total England and Wales,Other equipment,Irritant spray - drawn,1027.0,48.0,30.0,6427.0,20.0,7552.0
Total England and Wales,Other equipment,Irritant spray - used,1199.0,53.0,28.0,8193.0,28.0,9501.0
Total England and Wales,Other equipment,Not stated irritant spray,49.0,0.0,0.0,386.0,22.0,457.0
Total England and Wales,Other equipment,Spit and bite guard,922.0,34.0,34.0,3892.0,5.0,4887.0
Total England and Wales,Other equipment,Shield,349.0,5.0,15.0,563.0,1.0,933.0
Total England and Wales,Less lethal weapons,*Total Less lethal weapons,4139.0,124.0,123.0,18324.0,94.0,22804.0
Total England and Wales,Less lethal weapons,CED,4031.0,117.0,119.0,17706.0,86.0,22059.0
Total England and Wales,Less lethal weapons,"AEP, of which",108.0,7.0,4.0,618.0,8.0,745.0
Total England and Wales,Less lethal weapons,AEP aimed,74.0,6.0,4.0,550.0,8.0,642.0
Total England and Wales,Less lethal weapons,AEP fired,17.0,1.0,0.0,25.0,0.0,43.0
Total England and Wales,Less lethal weapons,Not stated AEP,17.0,0.0,0.0,43.0,0.0,60.0
Total England and Wales,Firearms,*Total Firearms,268.0,37.0,15.0,4169.0,36.0,4525.0
Total England and Wales,Other,*Total Other,4214.0,256.0,165.0,22983.0,87.0,27705.0
Total England and Wales,Other,"Dog use, of which",95.0,5.0,4.0,2167.0,33.0,2304.0
Total England and Wales,Other,Dog deployed,77.0,4.0,4.0,1499.0,26.0,1610.0
Total England and Wales,Other,Dog bite,12.0,1.0,0.0,602.0,6.0,621.0
Total England and Wales,Other,Not stated dog,6.0,0.0,0.0,66.0,1.0,73.0
Total England and Wales,Other,Other / improvised,4119.0,251.0,161.0,20816.0,54.0,25401.0
Total England and Wales,Not reported,*Total Not reported,142.0,12.0,4.0,1354.0,217.0,1729.0
Total England and Wales,Tactical communication,Tactical communication,30957.0,1340.0,1083.0,169350.0,411.0,203141.0
Avon & Somerset,Total (excluding not reported and tactical communication),*Total Tactics,1897.0,65.0,73.0,13135.0,204.0,15374.0
Avon & Somerset,Restraint,*Total Restraint,1133.0,37.0,38.0,8197.0,22.0,9427.0
Avon & Somerset,Restraint,"Handcuffing, of which",724.0,31.0,29.0,6018.0,14.0,6816.0
Avon & Somerset,Restraint,Compliant handcuffing,304.0,14.0,13.0,3434.0,6.0,3771.0
Avon & Somerset,Restraint,Non-compliant handcuffing,420.0,17.0,16.0,2584.0,8.0,3045.0
Avon & Somerset,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Restraint,Limb / Body restraints,90.0,1.0,2.0,354.0,0.0,447.0
Avon & Somerset,Restraint,Ground restraint,319.0,5.0,7.0,1825.0,8.0,2164.0
Avon & Somerset,Unarmed skills,*Total Unarmed skills,446.0,15.0,24.0,2779.0,57.0,3321.0
Avon & Somerset,Other equipment,*Total Other equipment,169.0,6.0,5.0,1137.0,95.0,1412.0
Avon & Somerset,Other equipment,"Baton, of which",7.0,0.0,0.0,75.0,88.0,170.0
Avon & Somerset,Other equipment,Baton drawn,5.0,0.0,0.0,47.0,59.0,111.0
Avon & Somerset,Other equipment,Baton used,2.0,0.0,0.0,28.0,29.0,59.0
Avon & Somerset,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Other equipment,"Irritant spray, of which",97.0,5.0,2.0,818.0,7.0,929.0
Avon & Somerset,Other equipment,Irritant spray - drawn,61.0,3.0,2.0,441.0,6.0,513.0
Avon & Somerset,Other equipment,Irritant spray - used,36.0,2.0,0.0,377.0,1.0,416.0
Avon & Somerset,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Other equipment,Spit and bite guard,48.0,0.0,3.0,223.0,0.0,274.0
Avon & Somerset,Other equipment,Shield,17.0,1.0,0.0,21.0,0.0,39.0
Avon & Somerset,Less lethal weapons,*Total Less lethal weapons,104.0,2.0,4.0,676.0,8.0,794.0
Avon & Somerset,Less lethal weapons,CED,97.0,1.0,4.0,623.0,8.0,733.0
Avon & Somerset,Less lethal weapons,"AEP, of which",7.0,1.0,0.0,53.0,0.0,61.0
Avon & Somerset,Less lethal weapons,AEP aimed,5.0,1.0,0.0,49.0,0.0,55.0
Avon & Somerset,Less lethal weapons,AEP fired,2.0,0.0,0.0,4.0,0.0,6.0
Avon & Somerset,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Firearms,*Total Firearms,3.0,2.0,0.0,74.0,1.0,80.0
Avon & Somerset,Other,*Total Other,42.0,3.0,2.0,272.0,21.0,340.0
Avon & Somerset,Other,"Dog use, of which",2.0,0.0,0.0,23.0,14.0,39.0
Avon & Somerset,Other,Dog deployed,1.0,0.0,0.0,20.0,8.0,29.0
Avon & Somerset,Other,Dog bite,1.0,0.0,0.0,3.0,6.0,10.0
Avon & Somerset,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Other,Other / improvised,40.0,3.0,2.0,249.0,7.0,301.0
Avon & Somerset,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0
Avon & Somerset,Tactical communication,Tactical communication,907.0,41.0,42.0,6859.0,92.0,7941.0
Bedfordshire,Total (excluding not reported and tactical communication),*Total Tactics,945.0,55.0,59.0,4293.0,0.0,5352.0
Bedfordshire,Restraint,*Total Restraint,525.0,31.0,28.0,2533.0,0.0,3117.0
Bedfordshire,Restraint,"Handcuffing, of which",318.0,25.0,20.0,1792.0,0.0,2155.0
Bedfordshire,Restraint,Compliant handcuffing,119.0,16.0,10.0,1048.0,0.0,1193.0
Bedfordshire,Restraint,Non-compliant handcuffing,199.0,9.0,10.0,744.0,0.0,962.0
Bedfordshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0
Bedfordshire,Restraint,Limb / Body restraints,91.0,1.0,4.0,279.0,0.0,375.0
Bedfordshire,Restraint,Ground restraint,116.0,5.0,4.0,462.0,0.0,587.0
Bedfordshire,Unarmed skills,*Total Unarmed skills,280.0,16.0,27.0,1142.0,0.0,1465.0
Bedfordshire,Other equipment,*Total Other equipment,63.0,0.0,3.0,258.0,0.0,324.0
Bedfordshire,Other equipment,"Baton, of which",8.0,0.0,0.0,51.0,0.0,59.0
