Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Mixed,Other,Not reported,Number of times tactic reported
Total England and Wales,Total (excluding not reported and tactical communication),*Total Tactics,508663.0,111252.0,45719.0,15871.0,16000.0,17771.0,715276.0
Total England and Wales,Restraint,*Total Restraint,315668.0,74438.0,31232.0,10108.0,11300.0,8832.0,451578.0
Total England and Wales,Restraint,"Handcuffing, of which",239625.0,60024.0,26702.0,7771.0,9226.0,7122.0,350470.0
Total England and Wales,Restraint,Compliant handcuffing,125822.0,39083.0,19299.0,4892.0,6393.0,1602.0,197091.0
Total England and Wales,Restraint,Non-compliant handcuffing,83107.0,19197.0,6367.0,2504.0,2232.0,1283.0,114690.0
Total England and Wales,Restraint,Handcuffing not stated,30696.0,1744.0,1036.0,375.0,601.0,4237.0,38689.0
Total England and Wales,Restraint,Limb / Body restraints,22735.0,4479.0,1394.0,750.0,606.0,639.0,30603.0
Total England and Wales,Restraint,Ground restraint,53308.0,9935.0,3136.0,1587.0,1468.0,1071.0,70505.0
Total England and Wales,Unarmed skills,*Total Unarmed skills,123020.0,20903.0,8567.0,3450.0,2705.0,5230.0,163875.0
Total England and Wales,Other equipment,*Total Other equipment,24274.0,4215.0,1547.0,662.0,617.0,883.0,32198.0
Total England and Wales,Other equipment,"Baton, of which",3670.0,1312.0,481.0,136.0,161.0,302.0,6062.0
Total England and Wales,Other equipment,Baton drawn,2124.0,853.0,269.0,84.0,107.0,187.0,3624.0
Total England and Wales,Other equipment,Baton used,1160.0,363.0,140.0,33.0,38.0,53.0,1787.0
Total England and Wales,Other equipment,Baton not stated,386.0,96.0,72.0,19.0,16.0,62.0,651.0
Total England and Wales,Other equipment,"Irritant spray, of which",14349.0,1965.0,749.0,358.0,340.0,394.0,18155.0
Total England and Wales,Other equipment,Irritant spray - drawn,5443.0,872.0,302.0,138.0,150.0,106.0,7011.0
Total England and Wales,Other equipment,Irritant spray - used,7549.0,797.0,301.0,150.0,162.0,120.0,9079.0
Total England and Wales,Other equipment,Irritant spray not stated,1357.0,296.0,146.0,70.0,28.0,168.0,2065.0
Total England and Wales,Other equipment,Spit and bite guard,5671.0,795.0,289.0,150.0,106.0,161.0,7172.0
Total England and Wales,Other equipment,Shield,584.0,143.0,28.0,18.0,10.0,26.0,809.0
Total England and Wales,Less lethal weapons,*Total Less lethal weapons,20765.0,6676.0,2281.0,861.0,742.0,1397.0,32722.0
Total England and Wales,Less lethal weapons,CED of which,20253.0,6608.0,2232.0,853.0,730.0,1381.0,32057.0
Total England and Wales,Less lethal weapons,CED non-discharge,16273.0,5808.0,1997.0,722.0,605.0,1186.0,26591.0
Total England and Wales,Less lethal weapons,CED discharge,2201.0,598.0,178.0,93.0,56.0,122.0,3248.0
Total England and Wales,Less lethal weapons,CED not stated,1779.0,202.0,57.0,38.0,69.0,73.0,2218.0
Total England and Wales,Less lethal weapons,"AEP, of which",512.0,68.0,49.0,8.0,12.0,16.0,665.0
Total England and Wales,Less lethal weapons,AEP drawn,471.0,62.0,49.0,8.0,9.0,14.0,613.0
Total England and Wales,Less lethal weapons,AEP used,27.0,6.0,0.0,0.0,1.0,2.0,36.0
Total England and Wales,Less lethal weapons,AEP not stated,14.0,0.0,0.0,0.0,2.0,0.0,16.0
Total England and Wales,Firearms,*Total Firearms,2475.0,1227.0,658.0,142.0,128.0,156.0,4786.0
Total England and Wales,Other,*Total Other,22461.0,3793.0,1434.0,648.0,508.0,1273.0,30117.0
Total England and Wales,Other,"Dog use, of which",1837.0,295.0,126.0,66.0,44.0,92.0,2460.0
Total England and Wales,Other,Dog deployed,1328.0,208.0,91.0,42.0,34.0,69.0,1772.0
Total England and Wales,Other,Dog bite,358.0,67.0,16.0,15.0,7.0,11.0,474.0
Total England and Wales,Other,Dog not stated,151.0,20.0,19.0,9.0,3.0,12.0,214.0
Total England and Wales,Other,Other / improvised,20624.0,3498.0,1308.0,582.0,464.0,1181.0,27657.0
Total England and Wales,Not reported,*Total Not reported,943.0,87.0,40.0,18.0,21.0,281.0,1390.0
Total England and Wales,Tactical communication,Tactical communication,163615.0,27460.0,11895.0,4166.0,4448.0,3975.0,215559.0
Avon & Somerset,Total (excluding not reported and tactical communication),*Total Tactics,12788.0,954.0,153.0,183.0,72.0,6943.0,21093.0
Avon & Somerset,Restraint,*Total Restraint,5955.0,433.0,79.0,87.0,33.0,3340.0,9927.0
Avon & Somerset,Restraint,"Handcuffing, of which",4569.0,351.0,62.0,62.0,25.0,2611.0,7680.0
Avon & Somerset,Restraint,Compliant handcuffing,:,:,:,:,:,:,:
Avon & Somerset,Restraint,Non-compliant handcuffing,:,:,:,:,:,:,:
Avon & Somerset,Restraint,Handcuffing not stated,4569.0,351.0,62.0,62.0,25.0,2611.0,7680.0
Avon & Somerset,Restraint,Limb / Body restraints,522.0,25.0,7.0,19.0,6.0,291.0,870.0
Avon & Somerset,Restraint,Ground restraint,864.0,57.0,10.0,6.0,2.0,438.0,1377.0
Avon & Somerset,Unarmed skills,*Total Unarmed skills,4886.0,337.0,52.0,77.0,28.0,2690.0,8070.0
Avon & Somerset,Other equipment,*Total Other equipment,599.0,56.0,6.0,5.0,3.0,257.0,926.0
Avon & Somerset,Other equipment,"Baton, of which",28.0,5.0,0.0,0.0,0.0,26.0,59.0
Avon & Somerset,Other equipment,Baton drawn,:,:,:,:,:,:,:
Avon & Somerset,Other equipment,Baton used,:,:,:,:,:,:,:
Avon & Somerset,Other equipment,Baton not stated,28.0,5.0,0.0,0.0,0.0,26.0,59.0
Avon & Somerset,Other equipment,"Irritant spray, of which",406.0,43.0,4.0,5.0,2.0,148.0,608.0
Avon & Somerset,Other equipment,Irritant spray - drawn,:,:,:,:,:,:,:
Avon & Somerset,Other equipment,Irritant spray - used,:,:,:,:,:,:,:
Avon & Somerset,Other equipment,Irritant spray not stated,406.0,43.0,4.0,5.0,2.0,148.0,608.0
Avon & Somerset,Other equipment,Spit and bite guard,165.0,8.0,2.0,0.0,1.0,83.0,259.0
