Police Force,Type of force,Tactic,Mental,Physical,Physical and mental,None,Not reported,Number of times tactic reported
Total England and Wales,Total (excluding not reported and tactical communication),*Total Tactics,106575.0,4594.0,2942.0,572325.0,28840.0,715276.0
Total England and Wales,Restraint,*Total Restraint,61346.0,2936.0,1656.0,366894.0,18746.0,451578.0
Total England and Wales,Restraint,"Handcuffing, of which",42075.0,2322.0,1176.0,288761.0,16136.0,350470.0
Total England and Wales,Restraint,Compliant handcuffing,14591.0,1220.0,469.0,176919.0,3892.0,197091.0
Total England and Wales,Restraint,Non-compliant handcuffing,20012.0,844.0,601.0,89032.0,4201.0,114690.0
Total England and Wales,Restraint,Handcuffing not stated,7472.0,258.0,106.0,22810.0,8043.0,38689.0
Total England and Wales,Restraint,Limb / Body restraints,7273.0,187.0,203.0,22548.0,392.0,30603.0
Total England and Wales,Restraint,Ground restraint,11998.0,427.0,277.0,55585.0,2218.0,70505.0
Total England and Wales,Unarmed skills,*Total Unarmed skills,30143.0,1020.0,807.0,127425.0,4480.0,163875.0
Total England and Wales,Other equipment,*Total Other equipment,5279.0,154.0,157.0,25287.0,1321.0,32198.0
Total England and Wales,Other equipment,"Baton, of which",595.0,16.0,20.0,5153.0,278.0,6062.0
Total England and Wales,Other equipment,Baton drawn,370.0,10.0,15.0,3106.0,123.0,3624.0
Total England and Wales,Other equipment,Baton used,190.0,3.0,4.0,1497.0,93.0,1787.0
Total England and Wales,Other equipment,Baton not stated,35.0,3.0,1.0,550.0,62.0,651.0
Total England and Wales,Other equipment,"Irritant spray, of which",2745.0,96.0,69.0,14470.0,775.0,18155.0
Total England and Wales,Other equipment,Irritant spray - drawn,1145.0,41.0,32.0,5431.0,362.0,7011.0
Total England and Wales,Other equipment,Irritant spray - used,1488.0,51.0,36.0,7099.0,405.0,9079.0
Total England and Wales,Other equipment,Irritant spray not stated,112.0,4.0,1.0,1940.0,8.0,2065.0
Total England and Wales,Other equipment,Spit and bite guard,1629.0,36.0,59.0,5206.0,242.0,7172.0
Total England and Wales,Other equipment,Shield,310.0,6.0,9.0,458.0,26.0,809.0
Total England and Wales,Less lethal weapons,*Total Less lethal weapons,4980.0,153.0,139.0,26278.0,1172.0,32722.0
Total England and Wales,Less lethal weapons,CED of which,4887.0,150.0,138.0,25721.0,1161.0,32057.0
Total England and Wales,Less lethal weapons,CED non-discharge,3998.0,131.0,110.0,21288.0,1064.0,26591.0
Total England and Wales,Less lethal weapons,CED discharge,703.0,10.0,16.0,2430.0,89.0,3248.0
Total England and Wales,Less lethal weapons,CED not stated,186.0,9.0,12.0,2003.0,8.0,2218.0
Total England and Wales,Less lethal weapons,"AEP, of which",93.0,3.0,1.0,557.0,11.0,665.0
Total England and Wales,Less lethal weapons,AEP drawn,85.0,3.0,1.0,515.0,9.0,613.0
Total England and Wales,Less lethal weapons,AEP used,8.0,0.0,0.0,26.0,2.0,36.0
Total England and Wales,Less lethal weapons,AEP not stated,0.0,0.0,0.0,16.0,0.0,16.0
Total England and Wales,Firearms,*Total Firearms,371.0,36.0,11.0,3964.0,404.0,4786.0
Total England and Wales,Other,*Total Other,4456.0,295.0,172.0,22477.0,2717.0,30117.0
Total England and Wales,Other,"Dog use, of which",159.0,10.0,10.0,1961.0,320.0,2460.0
Total England and Wales,Other,Dog deployed,138.0,6.0,7.0,1354.0,267.0,1772.0
Total England and Wales,Other,Dog bite,20.0,2.0,3.0,422.0,27.0,474.0
Total England and Wales,Other,Dog not stated,1.0,2.0,0.0,185.0,26.0,214.0
Total England and Wales,Other,Other / improvised,4297.0,285.0,162.0,20516.0,2397.0,27657.0
Total England and Wales,Not reported,*Total Not reported,79.0,9.0,45.0,772.0,485.0,1390.0
Total England and Wales,Tactical communication,Tactical communication,36199.0,1412.0,1051.0,171240.0,5657.0,215559.0
