Region,Police Force,Total
England and Wales,Total England and Wales,491984.0
North East,Total North East ,35287.0
North East,Cleveland,11048.0
North East,Durham,8000.0
North East,Northumbria,16239.0
North West,Total North West ,36241.0
North West,Cheshire,7969.0
North West,Cumbria,4513.0
North West,Greater Manchester,7818.0
North West,Lancashire,9090.0
North West,Merseyside,6851.0
Yorkshire and the Humber,Total Yorkshire and the Humber ,33601.0
Yorkshire and the Humber,Humberside,5668.0
Yorkshire and the Humber,North Yorkshire,3629.0
Yorkshire and the Humber,South Yorkshire,6806.0
Yorkshire and the Humber,West Yorkshire,17498.0
East Midlands,Total East Midlands ,32252.0
East Midlands,Derbyshire,5226.0
East Midlands,Leicestershire,9345.0
East Midlands,Lincolnshire,4022.0
East Midlands,Northamptonshire,6620.0
East Midlands,Nottinghamshire,7039.0
West Midlands,Total West Midlands ,27462.0
West Midlands,Staffordshire,3391.0
West Midlands,Warwickshire,2146.0
West Midlands,West Mercia,10738.0
West Midlands,West Midlands,11187.0
East of England,Total East of England ,42468.0
East of England,Bedfordshire,3977.0
East of England,Cambridgeshire,4629.0
East of England,Essex,15323.0
East of England,Hertfordshire,9361.0
East of England,Norfolk,5478.0
East of England,Suffolk,3700.0
London,Total London ,160656.0
London,City of London,2951.0
London,Metropolitan,157705.0
South East,Total South East ,58908.0
South East,Hampshire,4919.0
South East,Kent,14936.0
South East,Surrey,5143.0
South East,Sussex,17236.0
South East,Thames Valley,16674.0
South West,Total South West ,32126.0
South West,Avon & Somerset,11331.0
South West,Devon & Cornwall,10974.0
South West,Dorset,6310.0
South West,Gloucestershire,1102.0
South West,Wiltshire,2409.0
Wales,Total Wales,32983.0
Wales,Dyfed-Powys,3788.0
Wales,Gwent,7101.0
Wales,North Wales,2007.0
Wales,South Wales,20087.0
