Force,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,As at 30 September 2019
Avon & Somerset,3160,3417,3398,3439,3430,3407,3355,3302,3210,3039,2873,2800,2707,2692,2667,2597,2676,2691
Bedfordshire,1119,1199,1232,1225,1204,1207,1244,1246,1214,1157,1092,1019,1073,1083,1119,1130,1164,1191
Cambridgeshire,1391,1412,1418,1449,1402,1379,1450,1471,1398,1377,1384,1370,1362,1349,1346,1383,1447,1490
Cheshire,2137,2204,2207,2218,2235,2181,2180,2155,2079,2011,2013,1925,1952,2011,2008,2020,2006,2010
Cleveland,1592,1697,1689,1702,1739,1692,1756,1724,1655,1529,1463,1382,1326,1259,1283,1257,1198,1226
Cumbria,1154,1241,1260,1265,1273,1246,1284,1238,1180,1125,1121,1150,1143,1118,1112,1095,1160,1174
Derbyshire,2010,2084,2082,2073,2049,2095,2137,2074,2021,1819,1827,1788,1863,1766,1710,1738,1767,1800
Devon & Cornwall,3215,3311,3399,3540,3523,3529,3556,3556,3436,3225,3082,3096,3068,2959,2914,2959,3000,2999
Dorset,1422,1453,1475,1512,1526,1518,1512,1486,1452,1378,1301,1217,1272,1223,1266,1263,1223,1229
Durham,1662,1701,1738,1716,1705,1632,1588,1507,1431,1363,1362,1288,1169,1115,1144,1141,1118,1125
Essex,3007,3120,3230,3322,3341,3385,3484,3606,3577,3408,3311,3196,3069,2894,2819,2958,3071,3187
Gloucestershire,1237,1298,1308,1303,1319,1353,1372,1309,1262,1207,1198,1188,1165,1090,1089,1073,1073,1119
Greater Manchester,7391,8111,8119,8071,7992,8034,8232,8148,7791,7498,7202,6997,6703,6297,6318,6349,6444,6539
Hampshire,3707,3780,3803,3800,3887,3912,3811,3748,3658,3434,3397,3247,3064,2883,2896,2835,2697,2666
Hertfordshire,1977,2117,2145,2166,2202,2162,2172,2130,2048,1984,1953,1927,1911,1929,1952,1952,2009,2030
Humberside,2123,2231,2252,2232,2235,2243,2110,2058,1952,1856,1771,1701,1614,1582,1641,1794,1889,1901
Kent,3488,3621,3630,3648,3720,3718,3799,3787,3668,3498,3323,3268,3188,3182,3259,3261,3553,3548
Lancashire,3380,3579,3586,3635,3628,3675,3753,3649,3448,3323,3200,3074,2919,2860,2850,2969,2895,2898
Leicestershire,2147,2300,2311,2277,2255,2241,2363,2317,2211,2142,2089,2043,1955,1859,1802,1777,1829,1803
Lincolnshire,1236,1241,1234,1236,1243,1201,1229,1206,1202,1142,1130,1091,1100,1073,1087,1087,1096,1076
City of London,811,856,881,875,861,830,813,852,878,831,774,746,739,702,684,697,739,753
Merseyside,4112,4129,4339,4302,4441,4477,4494,4516,4297,4083,3909,3954,3794,3554,3538,3450,3396,3588
Metropolitan Police,28231,30035,31073,30948,31128,31460,32610,33367,32441,32140,30398,30932,31877,32125,31517,30390,30435,30940
Norfolk,1509,1524,1554,1575,1577,1578,1668,1662,1598,1547,1544,1582,1569,1515,1515,1558,1609,1644
Northamptonshire,1222,1261,1289,1338,1301,1309,1326,1343,1306,1234,1268,1239,1229,1214,1188,1215,1187,1255
Northumbria,4018,4061,4088,4066,3981,3983,4111,4187,4102,3920,3750,3646,3514,3336,3289,3174,3081,3084
North Yorkshire,1452,1534,1560,1653,1671,1581,1460,1486,1458,1402,1370,1408,1395,1341,1378,1350,1377,1433
Nottinghamshire,2426,2507,2522,2512,2445,2369,2408,2409,2319,2168,2095,2158,2102,1973,1837,1917,1936,1925
South Yorkshire,3194,3307,3307,3305,3289,3201,3053,2953,2888,2772,2767,2722,2587,2494,2483,2459,2370,2394
Staffordshire,2224,2286,2309,2302,2315,2269,2211,2161,2079,1948,1829,1729,1714,1660,1626,1590,1567,1579
Suffolk,1258,1314,1323,1307,1358,1319,1291,1246,1244,1175,1195,1226,1147,1087,1102,1127,1172,1180
Surrey,1933,1942,1959,1967,1963,1944,1872,1890,1885,1974,1970,1938,1863,1938,1986,1994,1882,1899
Sussex,3037,3090,3094,3127,3113,3075,3196,3213,3102,2959,2847,2805,2810,2666,2587,2549,2629,2647
Thames Valley,3899,4103,4189,4288,4260,4186,4317,4434,4375,4355,4322,4346,4365,4244,4096,4067,4149,4206
Warwickshire,1000,1011,1012,1040,1061,1036,994,973,919,844,805,802,828,836,835,806,817,945
West Mercia,2267,2365,2380,2385,2428,2486,2471,2391,2251,2191,2087,1966,2014,2079,2055,1974,1989,2129
West Midlands,7832,8008,8154,8192,8245,8412,8637,8626,8149,7826,7615,7288,7133,6944,6756,6581,6495,6405
West Yorkshire,5037,5313,5671,5685,5713,5822,5854,5758,5536,5219,5062,4857,4748,4501,4720,5014,5137,5168
Wiltshire,1169,1225,1228,1230,1208,1210,1229,1181,1099,1056,1050,1020,1015,1019,983,994,992,975
Dyfed-Powys,1156,1167,1183,1194,1190,1194,1197,1195,1157,1132,1112,1123,1176,1149,1160,1186,1145,1141
Gwent,1347,1376,1438,1467,1493,1487,1438,1437,1501,1446,1377,1330,1229,1127,1178,1267,1308,1294
North Wales,1553,1625,1676,1634,1608,1579,1586,1590,1530,1454,1483,1464,1487,1458,1441,1490,1458,1505
South Wales,3269,3312,3316,3303,3336,3244,3146,3148,3100,2907,2862,2861,2864,2883,2908,2916,2986,2995
Central Service Secondments,,,,,,,504,501,476,479,372,437,292,296,365,382,311,381
British Transport Police,,,,,,,2638,2677,2631,2557,2652,2912,2877,2968,2679,2865,2844,2984
