Tactic,Police Force,Force type - Output,Tactic - Output,Age,count
*Total Tactics,Total England and Wales,Total,Total: all,Under 11 years,853.0
*Total Restraint,Total England and Wales,Restraint,Total: Restraint,Under 11 years,377.0
"Handcuffing, of which",Total England and Wales,Restraint,Total: Handcuffing,Under 11 years,225.0
Compliant handcuffing,Total England and Wales,Restraint,Handcuffing: compliant,Under 11 years,116.0
Non-compliant handcuffing,Total England and Wales,Restraint,Handcuffing: non-compliant,Under 11 years,107.0
Not stated handcuffing,Total England and Wales,Restraint,Handcuffing: not stated,Under 11 years,2.0
Limb / Body restraints,Total England and Wales,Restraint,Limb / body restraints,Under 11 years,42.0
Ground restraint,Total England and Wales,Restraint,Ground restraint,Under 11 years,110.0
*Total Unarmed skills,Total England and Wales,Unarmed skills,Total: unarmed skills,Under 11 years,311.0
*Total Other equipment,Total England and Wales,Other equipment,Total: Other equipment,Under 11 years,31.0
"Baton, of which",Total England and Wales,Other equipment,Total: Baton,Under 11 years,6.0
Baton drawn,Total England and Wales,Other equipment,Baton: drawn,Under 11 years,4.0
Baton used,Total England and Wales,Other equipment,Baton: used,Under 11 years,2.0
Not stated baton,Total England and Wales,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Total England and Wales,Other equipment,Total: Irritant spray,Under 11 years,21.0
Irritant spray - drawn,Total England and Wales,Other equipment,Irritant spray: drawn,Under 11 years,11.0
Irritant spray - used,Total England and Wales,Other equipment,Irritant spray: used,Under 11 years,10.0
Not stated irritant spray,Total England and Wales,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Total England and Wales,Other equipment,Spit and bite guard,Under 11 years,4.0
Shield,Total England and Wales,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Total England and Wales,Less lethal weapons,Total: Less lethal weapons,Under 11 years,34.0
CED,Total England and Wales,Less lethal weapons,CED,Under 11 years,29.0
"AEP, of which",Total England and Wales,Less lethal weapons,Total: AEP,Under 11 years,5.0
AEP aimed,Total England and Wales,Less lethal weapons,AEP: Aimed,Under 11 years,5.0
AEP fired,Total England and Wales,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Total England and Wales,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Total England and Wales,Firearms,Total: Firearms,Under 11 years,5.0
*Total Other,Total England and Wales,Other,Total: Other,Under 11 years,95.0
"Dog use, of which",Total England and Wales,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Total England and Wales,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Total England and Wales,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Total England and Wales,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Total England and Wales,Other,Other / improvised,Under 11 years,95.0
*Total Not reported,Total England and Wales,Not reported,Total: Not reported,Under 11 years,3.0
Tactical communication,Total England and Wales,Excluded: Tactical Communication,Tactical Communication,Under 11 years,408.0
*Total Tactics,Avon & Somerset,Total,Total: all,Under 11 years,69.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,Under 11 years,44.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,Under 11 years,33.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,Under 11 years,24.0
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,Under 11 years,9.0
Not stated handcuffing,Avon & Somerset,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,Under 11 years,2.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,Under 11 years,9.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,Under 11 years,16.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,Under 11 years,7.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,Under 11 years,2.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,Under 11 years,1.0
Baton used,Avon & Somerset,Other equipment,Baton: used,Under 11 years,1.0
Not stated baton,Avon & Somerset,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,Under 11 years,5.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,Under 11 years,3.0
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,Under 11 years,2.0
Not stated irritant spray,Avon & Somerset,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Avon & Somerset,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,Under 11 years,1.0
CED,Avon & Somerset,Less lethal weapons,CED,Under 11 years,1.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Avon & Somerset,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Avon & Somerset,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Avon & Somerset,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Avon & Somerset,Other,Total: Other,Under 11 years,1.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Avon & Somerset,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Avon & Somerset,Other,Dog: not stated,Under 11 years,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,Under 11 years,1.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,Under 11 years,0.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,Under 11 years,41.0
*Total Tactics,Bedfordshire,Total,Total: all,Under 11 years,1.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,Under 11 years,0.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,Under 11 years,0.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,Under 11 years,0.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,Under 11 years,0.0
Not stated handcuffing,Bedfordshire,Restraint,Handcuffing: not stated,Under 11 years,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,Under 11 years,0.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,Under 11 years,0.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,Under 11 years,1.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,Under 11 years,0.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,Under 11 years,0.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,Under 11 years,0.0
Baton used,Bedfordshire,Other equipment,Baton: used,Under 11 years,0.0
Not stated baton,Bedfordshire,Other equipment,Baton: not stated,Under 11 years,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,Under 11 years,0.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,Under 11 years,0.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,Under 11 years,0.0
Not stated irritant spray,Bedfordshire,Other equipment,Irritant spray: not stated,Under 11 years,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,Under 11 years,0.0
Shield,Bedfordshire,Other equipment,Shield,Under 11 years,0.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,Under 11 years,0.0
CED,Bedfordshire,Less lethal weapons,CED,Under 11 years,0.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,Under 11 years,0.0
AEP aimed,Bedfordshire,Less lethal weapons,AEP: Aimed,Under 11 years,0.0
AEP fired,Bedfordshire,Less lethal weapons,AEP: Fired,Under 11 years,0.0
Not stated AEP,Bedfordshire,Less lethal weapons,AEP: Not stated,Under 11 years,0.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,Under 11 years,0.0
*Total Other,Bedfordshire,Other,Total: Other,Under 11 years,0.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,Under 11 years,0.0
Dog deployed,Bedfordshire,Other,Dog: deployed,Under 11 years,0.0
Dog bite,Bedfordshire,Other,Dog: bite,Under 11 years,0.0
Not stated dog,Bedfordshire,Other,Dog: not stated,Under 11 years,0.0
