Region,Police force,Total,Total non-discharge,Drawn,Aimed,Red-dot,Arced,Total discharge,Drive stun,Fired,Angled drive stun,Not stated
England and Wales,Total England and Wales,11303.0,9393.0,2832.0,718.0,5755.0,88.0,1905.0,97.0,1748.0,60.0,5.0
North East,Total North East ,344.0,278.0,54.0,13.0,210.0,1.0,66.0,2.0,64.0,0.0,0.0
North East,Cleveland,75.0,59.0,11.0,5.0,42.0,1.0,16.0,0.0,16.0,0.0,0.0
North East,Durham,234.0,198.0,34.0,8.0,156.0,0.0,36.0,2.0,34.0,0.0,0.0
North East,Northumbria,35.0,21.0,9.0,0.0,12.0,0.0,14.0,0.0,14.0,0.0,0.0
North West,Total North West ,1465.0,1144.0,308.0,72.0,757.0,7.0,319.0,30.0,281.0,8.0,2.0
North West,Cheshire,232.0,213.0,82.0,12.0,117.0,2.0,17.0,1.0,16.0,0.0,2.0
North West,Cumbria,114.0,96.0,28.0,2.0,65.0,1.0,18.0,2.0,16.0,0.0,0.0
North West,Greater Manchester,799.0,576.0,142.0,36.0,395.0,3.0,223.0,25.0,190.0,8.0,0.0
North West,Lancashire,151.0,115.0,26.0,7.0,82.0,0.0,36.0,0.0,36.0,0.0,0.0
North West,Merseyside,169.0,144.0,30.0,15.0,98.0,1.0,25.0,2.0,23.0,0.0,0.0
Yorkshire and the Humber,Total Yorkshire and the Humber ,994.0,748.0,134.0,51.0,558.0,5.0,246.0,8.0,221.0,17.0,0.0
Yorkshire and the Humber,Humberside,280.0,206.0,34.0,9.0,160.0,3.0,74.0,0.0,66.0,8.0,0.0
Yorkshire and the Humber,North Yorkshire,162.0,123.0,32.0,10.0,81.0,0.0,39.0,0.0,37.0,2.0,0.0
Yorkshire and the Humber,South Yorkshire,280.0,225.0,36.0,16.0,173.0,0.0,55.0,1.0,50.0,4.0,0.0
Yorkshire and the Humber,West Yorkshire,272.0,194.0,32.0,16.0,144.0,2.0,78.0,7.0,68.0,3.0,0.0
East Midlands,Total East Midlands ,557.0,486.0,163.0,19.0,295.0,9.0,71.0,3.0,66.0,2.0,0.0
East Midlands,Derbyshire,75.0,61.0,30.0,3.0,28.0,0.0,14.0,0.0,14.0,0.0,0.0
East Midlands,Leicestershire,90.0,78.0,13.0,6.0,51.0,8.0,12.0,1.0,10.0,1.0,0.0
East Midlands,Lincolnshire,212.0,185.0,86.0,4.0,94.0,1.0,27.0,2.0,24.0,1.0,0.0
East Midlands,Northamptonshire,105.0,97.0,16.0,4.0,77.0,0.0,8.0,0.0,8.0,0.0,0.0
East Midlands,Nottinghamshire,75.0,65.0,18.0,2.0,45.0,0.0,10.0,0.0,10.0,0.0,0.0
West Midlands,Total West Midlands ,1527.0,1280.0,394.0,115.0,753.0,18.0,247.0,6.0,240.0,1.0,0.0
West Midlands,Staffordshire,305.0,278.0,108.0,30.0,137.0,3.0,27.0,0.0,27.0,0.0,0.0
West Midlands,Warwickshire,101.0,77.0,26.0,8.0,42.0,1.0,24.0,1.0,23.0,0.0,0.0
West Midlands,West Mercia,260.0,235.0,74.0,13.0,148.0,0.0,25.0,0.0,25.0,0.0,0.0
West Midlands,West Midlands,861.0,690.0,186.0,64.0,426.0,14.0,171.0,5.0,165.0,1.0,0.0
East of England,Total East of England ,850.0,718.0,214.0,55.0,442.0,7.0,132.0,0.0,128.0,4.0,0.0
