Region,Police force,Total,Total non-discharge,Drawn,Aimed,Red-dot,Arced,Total discharge,Drive stun,Fired,Angled drive stun,Not stated
England and Wales,Total England and Wales,2906.0,2463.0,741.0,206.0,1500.0,16.0,443.0,11.0,418.0,14.0,0.0
North East,Total North East,124.0,98.0,16.0,1.0,80.0,1.0,26.0,1.0,25.0,0.0,0.0
North East,Cleveland,37.0,34.0,5.0,0.0,29.0,0.0,3.0,0.0,3.0,0.0,0.0
North East,Durham,55.0,47.0,5.0,0.0,41.0,1.0,8.0,1.0,7.0,0.0,0.0
North East,Northumbria,32.0,17.0,6.0,1.0,10.0,0.0,15.0,0.0,15.0,0.0,0.0
North West,Total North West,341.0,268.0,75.0,11.0,182.0,0.0,73.0,1.0,72.0,0.0,0.0
North West,Cheshire,67.0,56.0,18.0,3.0,35.0,0.0,11.0,0.0,11.0,0.0,0.0
North West,Cumbria,25.0,22.0,10.0,4.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0
North West,Greater Manchester,149.0,110.0,38.0,0.0,72.0,0.0,39.0,1.0,38.0,0.0,0.0
North West,Lancashire,65.0,52.0,7.0,2.0,43.0,0.0,13.0,0.0,13.0,0.0,0.0
North West,Merseyside,35.0,28.0,2.0,2.0,24.0,0.0,7.0,0.0,7.0,0.0,0.0
Yorkshire and the Humber,Total Yorkshire and the Humber,234.0,186.0,40.0,17.0,128.0,1.0,48.0,3.0,41.0,4.0,0.0
Yorkshire and the Humber,Humberside,50.0,39.0,9.0,2.0,27.0,1.0,11.0,0.0,11.0,0.0,0.0
Yorkshire and the Humber,North Yorkshire,30.0,25.0,8.0,2.0,15.0,0.0,5.0,1.0,3.0,1.0,0.0
Yorkshire and the Humber,South Yorkshire,104.0,84.0,17.0,10.0,57.0,0.0,20.0,0.0,18.0,2.0,0.0
Yorkshire and the Humber,West Yorkshire,50.0,38.0,6.0,3.0,29.0,0.0,12.0,2.0,9.0,1.0,0.0
East Midlands,Total East Midlands,125.0,110.0,41.0,6.0,61.0,2.0,15.0,0.0,15.0,0.0,0.0
East Midlands,Derbyshire,15.0,14.0,8.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0
East Midlands,Leicestershire,13.0,12.0,3.0,1.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0
East Midlands,Lincolnshire,60.0,53.0,24.0,4.0,25.0,0.0,7.0,0.0,7.0,0.0,0.0
East Midlands,Northamptonshire,19.0,17.0,4.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0
East Midlands,Nottinghamshire,18.0,14.0,2.0,1.0,11.0,0.0,4.0,0.0,4.0,0.0,0.0
West Midlands,Total West Midlands,401.0,337.0,85.0,38.0,213.0,1.0,64.0,1.0,60.0,3.0,0.0
West Midlands,Staffordshire,63.0,54.0,14.0,12.0,28.0,0.0,9.0,0.0,9.0,0.0,0.0
West Midlands,Warwickshire,52.0,49.0,15.0,2.0,32.0,0.0,3.0,0.0,3.0,0.0,0.0
West Midlands,West Mercia,71.0,64.0,20.0,4.0,40.0,0.0,7.0,0.0,7.0,0.0,0.0
West Midlands,West Midlands,215.0,170.0,36.0,20.0,113.0,1.0,45.0,1.0,41.0,3.0,0.0
East of England,Total East of England,313.0,264.0,105.0,21.0,137.0,1.0,49.0,0.0,46.0,3.0,0.0
East of England,Bedfordshire,50.0,37.0,12.0,3.0,22.0,0.0,13.0,0.0,12.0,1.0,0.0
East of England,Cambridgeshire,40.0,31.0,6.0,4.0,21.0,0.0,9.0,0.0,8.0,1.0,0.0
East of England,Essex,50.0,42.0,14.0,4.0,23.0,1.0,8.0,0.0,8.0,0.0,0.0
East of England,Hertfordshire,49.0,41.0,16.0,3.0,22.0,0.0,8.0,0.0,7.0,1.0,0.0
East of England,Norfolk,82.0,74.0,44.0,2.0,28.0,0.0,8.0,0.0,8.0,0.0,0.0
East of England,Suffolk,42.0,39.0,13.0,5.0,21.0,0.0,3.0,0.0,3.0,0.0,0.0
London,Total London,582.0,518.0,180.0,58.0,280.0,0.0,64.0,1.0,61.0,2.0,0.0
London,City of London,4.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
London,Metropolitan,578.0,516.0,179.0,57.0,280.0,0.0,62.0,1.0,59.0,2.0,0.0
South East,Total South East,388.0,344.0,129.0,31.0,178.0,6.0,44.0,2.0,42.0,0.0,0.0
South East,Hampshire,75.0,63.0,23.0,3.0,34.0,3.0,12.0,0.0,12.0,0.0,0.0
South East,Kent,66.0,58.0,25.0,9.0,24.0,0.0,8.0,0.0,8.0,0.0,0.0
South East,Surrey,34.0,30.0,9.0,1.0,19.0,1.0,4.0,1.0,3.0,0.0,0.0
South East,Sussex,97.0,90.0,41.0,13.0,36.0,0.0,7.0,1.0,6.0,0.0,0.0
South East,Thames Valley,116.0,103.0,31.0,5.0,65.0,2.0,13.0,0.0,13.0,0.0,0.0
South West,Total South West,271.0,227.0,45.0,17.0,162.0,3.0,44.0,2.0,41.0,1.0,0.0
South West,Avon & Somerset,130.0,109.0,23.0,10.0,75.0,1.0,21.0,2.0,19.0,0.0,0.0
South West,Devon & Cornwall,65.0,54.0,14.0,2.0,37.0,1.0,11.0,0.0,11.0,0.0,0.0
South West,Dorset,25.0,24.0,2.0,2.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0
South West,Gloucestershire,22.0,15.0,1.0,3.0,10.0,1.0,7.0,0.0,7.0,0.0,0.0
South West,Wiltshire,29.0,25.0,5.0,0.0,20.0,0.0,4.0,0.0,4.0,0.0,0.0
Wales,Total Wales,127.0,111.0,25.0,6.0,79.0,1.0,16.0,0.0,15.0,1.0,0.0
Wales,Dyfed-Powys,16.0,15.0,2.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0
Wales,Gwent,19.0,19.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales,North Wales,42.0,31.0,11.0,4.0,16.0,0.0,11.0,0.0,10.0,1.0,0.0
Wales,South Wales,50.0,46.0,9.0,2.0,34.0,1.0,4.0,0.0,4.0,0.0,0.0
