Force,Police Officers,Population,Police Per 100_000 Population,Rank
Avon & Somerset,2676,1711500,156,34
Bedfordshire,1164,669300,174,19
Cambridgeshire,1447,852500,170,22
Cheshire,2006,1059300,189,16
Cleveland,1198,567700,211,11
Cumbria,1160,498900,233,3
Derbyshire,1767,1053300,168,26
Devon & Cornwall,3000,1762400,170,21
Dorset,1223,772300,158,32
Durham,1118,633500,176,18
Essex,3071,1832800,168,28
Gloucestershire,1073,633600,169,24
Greater Manchester,6444,2812600,229,4
Hampshire,2697,1985800,136,42
Hertfordshire,2009,1184400,170,23
Humberside,1889,932100,203,13
Kent,3553,1846500,192,15
Lancashire,2895,1498300,193,14
Leicestershire,1829,1093200,167,29
Lincolnshire,1096,755800,145,38
Merseyside,3396,1423100,239,2
Metropolitan Police,31175,8908100,350,1
Norfolk,1609,903700,178,17
Northamptonshire,1187,747600,159,31
Northumbria,3081,1456600,212,10
North Yorkshire,1377,824400,167,30
Nottinghamshire,1936,1154200,168,27
South Yorkshire,2370,1402900,169,25
Staffordshire,1567,1131100,139,40
Suffolk,1172,758600,155,36
Surrey,1882,1189900,158,33
Sussex,2629,1703800,154,37
Thames Valley,4149,2407600,172,20
Warwickshire,817,571000,143,39
West Mercia,1989,1282200,155,35
West Midlands,6495,2916500,223,6
West Yorkshire,5137,2320200,221,7
Wiltshire,992,720100,138,41
Dyfed-Powys,1145,518100,221,9
Gwent,1308,591200,221,8
North Wales,1458,698400,209,12
South Wales,2986,1331000,224,5
