Region,Police force,Total,Total non-discharge,Drawn,Aimed,Red-dot,Arced,Total discharge,Drive stun,Fired,Angled drive stun,Not stated
England and Wales,*Total England and Wales,16913.0,14282.0,4250.0,1532.0,8372.0,128.0,1951.0,61.0,1821.0,69.0,680.0
North East,*Total North East,552.0,444.0,94.0,115.0,231.0,4.0,89.0,2.0,87.0,0.0,19.0
North East,Cleveland,191.0,167.0,43.0,86.0,38.0,0.0,21.0,0.0,21.0,0.0,3.0
North East,Durham,236.0,176.0,21.0,20.0,135.0,0.0,48.0,2.0,46.0,0.0,12.0
North East,Northumbria,125.0,101.0,30.0,9.0,58.0,4.0,20.0,0.0,20.0,0.0,4.0
North West,*Total North West,1711.0,1351.0,358.0,142.0,838.0,13.0,306.0,8.0,286.0,12.0,54.0
North West,Cheshire,188.0,176.0,48.0,14.0,114.0,0.0,12.0,0.0,12.0,0.0,0.0
North West,Cumbria,171.0,148.0,53.0,14.0,80.0,1.0,23.0,1.0,22.0,0.0,0.0
North West,Greater Manchester,832.0,642.0,149.0,70.0,413.0,10.0,188.0,6.0,172.0,10.0,2.0
North West,Lancashire,303.0,202.0,62.0,18.0,120.0,2.0,51.0,0.0,51.0,0.0,50.0
North West,Merseyside,217.0,183.0,46.0,26.0,111.0,0.0,32.0,1.0,29.0,2.0,2.0
Yorkshire and the Humber,*Total Yorkshire and the Humber,1457.0,1222.0,302.0,95.0,820.0,5.0,232.0,6.0,218.0,8.0,3.0
Yorkshire and the Humber,Humberside,343.0,294.0,49.0,36.0,205.0,4.0,49.0,3.0,40.0,6.0,0.0
Yorkshire and the Humber,North Yorkshire,238.0,187.0,61.0,14.0,112.0,0.0,48.0,0.0,48.0,0.0,3.0
Yorkshire and the Humber,South Yorkshire,451.0,376.0,103.0,22.0,251.0,0.0,75.0,3.0,70.0,2.0,0.0
Yorkshire and the Humber,West Yorkshire,425.0,365.0,89.0,23.0,252.0,1.0,60.0,0.0,60.0,0.0,0.0
East Midlands,*Total East Midlands,1056.0,944.0,286.0,60.0,582.0,16.0,112.0,3.0,105.0,4.0,0.0
East Midlands,Derbyshire,68.0,64.0,18.0,14.0,29.0,3.0,4.0,0.0,4.0,0.0,0.0
East Midlands,Leicestershire,242.0,220.0,68.0,7.0,138.0,7.0,22.0,0.0,20.0,2.0,0.0
East Midlands,Lincolnshire,287.0,246.0,78.0,22.0,146.0,0.0,41.0,1.0,40.0,0.0,0.0
East Midlands,Northamptonshire,183.0,175.0,63.0,8.0,100.0,4.0,8.0,0.0,8.0,0.0,0.0
East Midlands,Nottinghamshire,276.0,239.0,59.0,9.0,169.0,2.0,37.0,2.0,33.0,2.0,0.0
West Midlands,*Total West Midlands,1483.0,1282.0,323.0,137.0,804.0,18.0,201.0,1.0,200.0,0.0,0.0
West Midlands,Staffordshire,289.0,264.0,89.0,34.0,137.0,4.0,25.0,0.0,25.0,0.0,0.0
West Midlands,Warwickshire,161.0,149.0,42.0,12.0,94.0,1.0,12.0,0.0,12.0,0.0,0.0
West Midlands,West Mercia,283.0,265.0,96.0,15.0,153.0,1.0,18.0,0.0,18.0,0.0,0.0
West Midlands,West Midlands,750.0,604.0,96.0,76.0,420.0,12.0,146.0,1.0,145.0,0.0,0.0
East of England,*Total East of England,1396.0,1107.0,304.0,94.0,698.0,11.0,124.0,3.0,114.0,7.0,165.0
East of England,Bedfordshire,147.0,118.0,23.0,12.0,83.0,0.0,26.0,1.0,23.0,2.0,3.0
East of England,Cambridgeshire,149.0,129.0,19.0,12.0,98.0,0.0,18.0,0.0,16.0,2.0,2.0
East of England,Essex,268.0,246.0,56.0,26.0,164.0,0.0,22.0,1.0,21.0,0.0,0.0
East of England,Hertfordshire,212.0,195.0,46.0,14.0,133.0,2.0,14.0,0.0,14.0,0.0,3.0
East of England,Norfolk,372.0,252.0,98.0,17.0,131.0,6.0,31.0,1.0,27.0,3.0,89.0
East of England,Suffolk,248.0,167.0,62.0,13.0,89.0,3.0,13.0,0.0,13.0,0.0,68.0
London,*Total London,5027.0,4593.0,1516.0,574.0,2482.0,21.0,434.0,18.0,388.0,28.0,0.0
London,City of London,76.0,70.0,26.0,5.0,39.0,0.0,6.0,1.0,5.0,0.0,0.0
