Tactic,Police Force,Force type - Output,Tactic - Output,Disability,count
*Total Tactics,Total England and Wales,Total,Total: all,Mental,88428.0
*Total Restraint,Total England and Wales,Restraint,Total: Restraint,Mental,51395.0
"Handcuffing, of which",Total England and Wales,Restraint,Total: Handcuffing,Mental,34430.0
Compliant handcuffing,Total England and Wales,Restraint,Handcuffing: compliant,Mental,13339.0
Non-compliant handcuffing,Total England and Wales,Restraint,Handcuffing: non-compliant,Mental,19718.0
Not stated handcuffing,Total England and Wales,Restraint,Handcuffing: not stated,Mental,1373.0
Limb / Body restraints,Total England and Wales,Restraint,Limb / body restraints,Mental,6287.0
Ground restraint,Total England and Wales,Restraint,Ground restraint,Mental,10678.0
*Total Unarmed skills,Total England and Wales,Unarmed skills,Total: unarmed skills,Mental,24260.0
*Total Other equipment,Total England and Wales,Other equipment,Total: Other equipment,Mental,4152.0
"Baton, of which",Total England and Wales,Other equipment,Total: Baton,Mental,606.0
Baton drawn,Total England and Wales,Other equipment,Baton: drawn,Mental,350.0
Baton used,Total England and Wales,Other equipment,Baton: used,Mental,217.0
Not stated baton,Total England and Wales,Other equipment,Baton: not stated,Mental,39.0
"Irritant spray, of which",Total England and Wales,Other equipment,Total: Irritant spray,Mental,2275.0
Irritant spray - drawn,Total England and Wales,Other equipment,Irritant spray: drawn,Mental,1027.0
Irritant spray - used,Total England and Wales,Other equipment,Irritant spray: used,Mental,1199.0
Not stated irritant spray,Total England and Wales,Other equipment,Irritant spray: not stated,Mental,49.0
Spit and bite guard,Total England and Wales,Other equipment,Spit and bite guard,Mental,922.0
Shield,Total England and Wales,Other equipment,Shield,Mental,349.0
*Total Less lethal weapons,Total England and Wales,Less lethal weapons,Total: Less lethal weapons,Mental,4139.0
CED,Total England and Wales,Less lethal weapons,CED,Mental,4031.0
"AEP, of which",Total England and Wales,Less lethal weapons,Total: AEP,Mental,108.0
AEP aimed,Total England and Wales,Less lethal weapons,AEP: Aimed,Mental,74.0
AEP fired,Total England and Wales,Less lethal weapons,AEP: Fired,Mental,17.0
Not stated AEP,Total England and Wales,Less lethal weapons,AEP: Not stated,Mental,17.0
*Total Firearms,Total England and Wales,Firearms,Total: Firearms,Mental,268.0
*Total Other,Total England and Wales,Other,Total: Other,Mental,4214.0
"Dog use, of which",Total England and Wales,Other,Total: Dog,Mental,95.0
Dog deployed,Total England and Wales,Other,Dog: deployed,Mental,77.0
Dog bite,Total England and Wales,Other,Dog: bite,Mental,12.0
Not stated dog,Total England and Wales,Other,Dog: not stated,Mental,6.0
Other / improvised,Total England and Wales,Other,Other / improvised,Mental,4119.0
*Total Not reported,Total England and Wales,Not reported,Total: Not reported,Mental,142.0
Tactical communication,Total England and Wales,Excluded: Tactical Communication,Tactical Communication,Mental,30957.0
*Total Tactics,Avon & Somerset,Total,Total: all,Mental,1897.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,Mental,1133.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,Mental,724.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,Mental,304.0
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,Mental,420.0
Not stated handcuffing,Avon & Somerset,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,Mental,90.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,Mental,319.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,Mental,446.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,Mental,169.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,Mental,7.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,Mental,5.0
Baton used,Avon & Somerset,Other equipment,Baton: used,Mental,2.0
Not stated baton,Avon & Somerset,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,Mental,97.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,Mental,61.0
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,Mental,36.0
Not stated irritant spray,Avon & Somerset,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,Mental,48.0
Shield,Avon & Somerset,Other equipment,Shield,Mental,17.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,Mental,104.0
CED,Avon & Somerset,Less lethal weapons,CED,Mental,97.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,Mental,7.0
AEP aimed,Avon & Somerset,Less lethal weapons,AEP: Aimed,Mental,5.0
AEP fired,Avon & Somerset,Less lethal weapons,AEP: Fired,Mental,2.0
Not stated AEP,Avon & Somerset,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,Mental,3.0
*Total Other,Avon & Somerset,Other,Total: Other,Mental,42.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,Mental,2.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,Mental,1.0
Dog bite,Avon & Somerset,Other,Dog: bite,Mental,1.0
Not stated dog,Avon & Somerset,Other,Dog: not stated,Mental,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,Mental,40.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,Mental,907.0
*Total Tactics,Bedfordshire,Total,Total: all,Mental,945.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,Mental,525.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,Mental,318.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,Mental,119.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,Mental,199.0
Not stated handcuffing,Bedfordshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,Mental,91.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,Mental,116.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,Mental,280.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,Mental,63.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,Mental,8.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,Mental,5.0
Baton used,Bedfordshire,Other equipment,Baton: used,Mental,3.0
Not stated baton,Bedfordshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,Mental,31.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,Mental,17.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,Mental,14.0
Not stated irritant spray,Bedfordshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,Mental,19.0
Shield,Bedfordshire,Other equipment,Shield,Mental,5.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,Mental,39.0
CED,Bedfordshire,Less lethal weapons,CED,Mental,39.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,Bedfordshire,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Bedfordshire,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Bedfordshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,Mental,1.0
*Total Other,Bedfordshire,Other,Total: Other,Mental,37.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,Mental,0.0
Dog deployed,Bedfordshire,Other,Dog: deployed,Mental,0.0
Dog bite,Bedfordshire,Other,Dog: bite,Mental,0.0
Not stated dog,Bedfordshire,Other,Dog: not stated,Mental,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,Mental,37.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,Mental,492.0
*Total Tactics,Cambridgeshire,Total,Total: all,Mental,1785.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,Mental,927.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,Mental,560.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,Mental,199.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,Mental,361.0
Not stated handcuffing,Cambridgeshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,Mental,156.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,Mental,211.0
