Action,2011,2012,2013,2014,2015,2016,Numeric change between 2015 to 2016,% change between 2015 to 2016
Drawn ,1568.0,1648.0,2497.0,2212.0,2457.0,2829.0,372.0,0.1514041514041514
Aimed,368.0,345.0,461.0,549.0,630.0,719.0,89.0,0.14126984126984127
Arced,314.0,292.0,297.0,122.0,106.0,87.0,-19.0,-0.1792452830188679
Red-dot,3795.0,3931.0,5105.0,5222.0,5274.0,5744.0,470.0,0.08911642017444066
Total non-discharge,6045.0,6216.0,8360.0,8105.0,8467.0,9379.0,912.0,0.10771229479154364
Drive stun,308.0,313.0,247.0,145.0,104.0,98.0,-6.0,-0.057692307692307696
Angled drive stun,4.0,7.0,40.0,111.0,87.0,57.0,-30.0,-0.3448275862068966
Fired,1506.0,1620.0,1733.0,1733.0,1729.0,1755.0,26.0,0.015037593984962405
Total discharge,1818.0,1940.0,2020.0,1989.0,1920.0,1910.0,-10.0,-0.005208333333333333
Not stated,14.0,5.0,0.0,1.0,3.0,5.0,2.0,0.6666666666666666
Total,7877.0,8161.0,10380.0,10095.0,10390.0,11294.0,904.0,0.08700673724735322
